"clutchID","eggID","code_name","first.photo","size_01","repeatability.photo","size_02","weight_wk3","weight_wk4","weight_wk5","weight_wk6","X","X.1","hatch_date","weighday_1","weight_1","weighday_2","weight_2","weighday_3","weight3","weighday_4","weight4","weighday_5","weight_5","pupal_treatment"
"A.A.139","AA139.01",141,1,0.2,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.02",590,1,0.211,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.03",774,1,0.206,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.04",479,1,0.221,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.05",676,1,0.218,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.06",622,1,0.215,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.07",911,1,0.208,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.08",304,1,0.198,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.09",575,1,0.213,"1",0.218,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.139","AA139.10",810,1,0.205,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.142","AA142.01",500,1,0.219,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.142","AA142.02",357,1,0.207,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.142","AA142.03",841,1,0.218,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.142","AA142.04",119,1,0.219,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
