"clutchID","eggID","code_name","size"
"A.A.139","*AA139.10*",810,NA
"A.A.139","*AA139.09*",575,NA
"A.A.139","*AA139.08*",304,NA
"A.A.139","*AA139.07*",911,NA
"A.A.139","*AA139.06*",622,NA
"A.A.139","*AA139.05*",676,NA
"A.A.139","*AA139.04*",479,NA
"A.A.139","*AA139.03*",774,NA
"A.A.139","*AA139.02*",590,NA
"A.A.139","*AA139.01*",141,NA
"A.A.142","*AA142.10*",470,NA
"A.A.142","*AA142.09*",527,NA
"A.A.142","*AA142.08*",333,NA
"A.A.142","*AA142.07*",198,NA
"A.A.142","*AA142.06*",778,NA
"A.A.142","*AA142.05*",800,NA
"A.A.142","*AA142.04*",119,NA
"A.A.142","*AA142.03*",841,NA
"A.A.142","*AA142.02*",357,NA
"A.A.142","*AA142.01*",500,NA
"A.A.144","*AA144.10*",607,NA
"A.A.144","*AA144.09*",901,NA
"A.A.144","*AA144.08*",879,NA
"A.A.144","*AA144.07*",753,NA
"A.A.144","*AA144.06*",769,NA
"A.A.144","*AA144.05*",813,NA
"A.A.144","*AA144.04*",461,NA
"A.A.144","*AA144.03*",526,NA
"A.A.144","*AA144.02*",842,NA
"A.A.144","*AA144.01*",549,NA
"A.A.172","*AA172.10*",110,NA
"A.A.172","*AA172.09*",948,NA
"A.A.172","*AA172.08*",381,NA
"A.A.172","*AA172.07*",224,NA
"A.A.172","*AA172.06*",695,NA
"A.A.172","*AA172.05*",312,NA
"A.A.172","*AA172.04*",286,NA
"A.A.172","*AA172.03*",808,NA
"A.A.172","*AA172.02*",442,NA
"A.A.172","*AA172.01*",686,NA
"A.A.189","*AA289.10*",123,NA
"A.A.189","*AA289.09*",749,NA
"A.A.189","*AA289.08*",548,NA
"A.A.189","*AA289.07*",310,NA
"A.A.189","*AA289.06*",260,NA
"A.A.189","*AA289.05*",105,NA
"A.A.189","*AA289.04*",170,NA
"A.A.189","*AA289.03*",482,NA
"A.A.189","*AA289.02*",546,NA
"A.A.189","*AA289.01*",818,NA
"A.A.297","*AA297.10*",389,NA
"A.A.297","*AA297.09*",887,NA
"A.A.297","*AA297.08*",651,NA
"A.A.297","*AA297.07*",369,NA
"A.A.297","*AA297.06*",996,NA
"A.A.297","*AA297.05*",271,NA
"A.A.297","*AA297.04*",103,NA
"A.A.297","*AA297.03*",969,NA
"A.A.297","*AA297.02*",349,NA
"A.A.297","*AA297.01*",750,NA
"A.A.57","*AA57.10*",902,NA
"A.A.57","*AA57.09*",329,NA
"A.A.57","*AA57.08*",667,NA
"A.A.57","*AA57.07*",513,NA
"A.A.57","*AA57.06*",229,NA
"A.A.57","*AA57.05*",313,NA
"A.A.57","*AA57.04*",523,NA
"A.A.57","*AA57.03*",930,NA
"A.A.57","*AA57.02*",261,NA
"A.A.57","*AA57.01*",712,NA
"A.A.81","*AA81.10*",378,NA
"A.A.81","*AA81.09*",130,NA
"A.A.81","*AA81.08*",708,NA
"A.A.81","*AA81.07*",188,NA
"A.A.81","*AA81.06*",768,NA
"A.A.81","*AA81.05*",741,NA
"A.A.81","*AA81.04*",709,NA
"A.A.81","*AA81.03*",440,NA
"A.A.81","*AA81.02*",113,NA
"A.A.81","*AA81.01*",965,NA
"A.A.83","*AA83.10*",115,NA
"A.A.83","*AA83.09*",878,NA
"A.A.83","*AA83.08*",826,NA
"A.A.83","*AA83.07*",976,NA
"A.A.83","*AA83.06*",926,NA
"A.A.83","*AA83.05*",656,NA
"A.A.83","*AA83.04*",392,NA
"A.A.83","*AA83.03*",456,NA
"A.A.83","*AA83.02*",890,NA
"A.A.83","*AA83.01*",625,NA
"A.M.105","*AM105.10*",472,NA
"A.M.105","*AM105.09*",599,NA
"A.M.105","*AM105.08*",644,NA
"A.M.105","*AM105.07*",498,NA
"A.M.105","*AM105.06*",587,NA
"A.M.105","*AM105.05*",111,NA
"A.M.105","*AM105.04*",402,NA
"A.M.105","*AM105.03*",179,NA
"A.M.105","*AM105.02*",556,NA
"A.M.105","*AM105.01*",863,NA
"A.M.106","*AM106.10*",780,NA
"A.M.106","*AM106.09*",602,NA
"A.M.106","*AM106.08*",807,NA
"A.M.106","*AM106.07*",998,NA
"A.M.106","*AM106.06*",254,NA
