"clutch_code","egg_number","area","unique_egg_ID","pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID"
"1216",1,0.19,"1216_1","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",2,0.247,"1216_2","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",3,0.185,"1216_3","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",4,0.201,"1216_4","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",5,0.169,"1216_5","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",6,0.179,"1216_6","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",7,0.197,"1216_7","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",8,0.198,"1216_8","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",9,0.17,"1216_9","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1216",10,0.179,"1216_10","mean","11/21/2025","F","WARM.WTH.164_P4_M",0.0242,"WARM.WTH.43_P6_M","W.M.38","DONE",76,6,82,"DONE","","warm",NA,NA,"",0.191,"W.M.38"
"1554",1,0.186,"1554_1","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",2,0.197,"1554_2","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",3,0.18,"1554_3","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",4,0.192,"1554_4","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",5,0.183,"1554_5","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",6,0.188,"1554_6","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",7,0.188,"1554_7","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",8,0.187,"1554_8","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",9,0.203,"1554_9","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"1554",10,0.187,"1554_10","hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","","ambient",NA,NA,"",0.189204496,"A.H.23"
"2046",1,0.197,"2046_1","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",2,0.206,"2046_2","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",3,0.232,"2046_3","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",4,0.217,"2046_4","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",5,0.214,"2046_5","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",6,0.217,"2046_6","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",7,0.242,"2046_7","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",8,0.217,"2046_8","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
"2046",9,0.213,"2046_9","ambient","11/17/2025","F","HOT.WTH.152_P3_A",0.0282,"HOT.WTH.48_P1_A","H.A.29","DONE",12,159,171,"DONE","","hot",NA,NA,"",0.215915307,"H.A.29"
