"pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","clutch_code","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID","maternalID"
"mean","11/7/2025","F","CTRL.WTH.42_P3_M",0.0279,"CTRL.WTH.44_P8_M","A.M.2","DONE",0,210,210,"DONE","3510","","ambient",NA,NA,"",0.213242245,"A.M.2","42"
"cool","11/7/2025","F","HOT.WTH.44_P5_C",0.0269,"HOT.WTH.88_P2_C","H.C.3","DONE",7,206,213,"DONE","3462","","hot",NA,NA,"",0.215106508,"H.C.3","44"
"warm","11/9/2025","F","CTRL.WTH.60_P3_W",0.0205,"CTRL.WTH.1_P6_W","A.W.4","DONE",51,9,60,"DONE","9717","second image only has 9 eggs because the rest were green and too shrivelled to photograph","ambient",NA,NA,"only 9 eggs in this image",0.202687541,"A.W.4","60"
"mean","11/11/2025","F","WARM.WTH.1_P2_M",0.0301,"WARM.WTH.41_P2","W.M.5","DONE",0,245,245,"DONE","3985","","warm",NA,NA,"",0.200861251,"W.M.5","1"
"warm","11/11/2025","F","CTRL.WTH.42_P7_W",0.0297,"CTRL.WTH.44_P5_W","A.W.6","DONE",20,15,35,"DONE","2841","","ambient",NA,NA,"",0.206191755,"A.W.6","42"
"ambient","11/13/2025","F","HOT.WTH.15_P4_A",0.0313,"HOT.WTH.25_P2_A","H.A.8","DONE",0,36,36,"DONE","4370","","hot",NA,NA,"",0.198898753,"H.A.8","15"
"ambient","11/13/2025","F","HOT.WTH.60_P3_A",0.0256,"HOT.WTH.53_P3_A","H.A.9","DONE",37,71,108,"DONE","5760","","hot",NA,NA,"",0.209421697,"H.A.9","60"
"mean","11/13/2025","F","CTRL.WTH.44_P7_M",0.026,"CTRL.WTH.15_P5_M","A.M.11","DONE",13,0,13,"DONE","7745","","ambient",NA,NA,"",0.20845642,"A.M.11","44"
"warm","11/13/2025","F","CTRL.WTH.16_P4_W",0.0244,"CTRL.WTH.43_P3_W","A.W.12","DONE",11,0,11,"DONE","3756","too shrivelled to take a second image","ambient",NA,NA,"only 8 eggs in this image",0.205439237,"A.W.12","16"
"mean","11/15/2025","F","HOT.WTH.26_P2_M",0.0326,"HOT.WTH.78_P1_M","H.M.15","DONE",0,199,199,"DONE","6106","","hot",NA,NA,"",0.195,"H.M.15","26"
"mean","11/15/2025","F","CTRL.WTH.60_P2_M",0.0373,"CTRL.WTH.38_P4_M","A.M.17","DONE",2,221,223,"DONE","3887","","ambient",NA,NA,"",0.190188025,"A.M.17","60"
"cool","11/15/2025","F","CTRL.WTH.44_P1_C",0.0254,"CTRL.WTH.50_P5_C","A.C.18","DONE",1,3,4,"DONE","7169","","ambient",NA,NA,"",0.202318287,"A.C.18","44"
"cool","11/15/2025","F","HOT.WTH.102_P6_C",0.0485,"HOT.WTH.23_P7_C","H.C.19","DONE",22,229,251,"DONE","3566","","hot",NA,NA,"",0.236,"H.C.19","102"
"ambient","11/15/2025","F","WARM.WTH.44_P1_A",0.0375,"WARM.WTH.1_P4_C","W.A.21","DONE",38,0,38,"DONE","3979","","warm",NA,NA,"",0.213652496,"W.A.21","44"
"ambient","11/15/2025","F","CTRL.WTH.94_P2_A",0.0324,"CTRL.WTH.44_P6_A","C.A.22","DONE",2,47,49,"DONE","2613","","ambient",NA,NA,"",0.222990285,"C.A.22","94"
"hot","11/17/2025","F","CTRL.WTH.60_P6_H",0.0223,"CTRL.WTH.60_P6_H","A.H.23","DONE",8,160,168,"DONE","1554","","ambient",NA,NA,"",0.189204496,"A.H.23","60"
"warm","11/17/2025","F","HOT.WTH.86_P1_W",0.0401,"HOT.WTH.84_P2_W","H.W.25","DONE",2,185,187,"DONE","5468","","hot",NA,NA,"",0.196440367,"H.W.25","86"
