pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
cool,11/3/2025,F,HOT.WTH.33_P1_C,0.0431,,,H.C.1,dead,DONE,10,yes,yes_RM,,,,,,,,,
cool,11/5/2025,M,F5.COOL.CTRL_P2_C,,CTRL.WTH.16_P3_C,,A.C.55,,DONE,N/A,,rm,,,,,,,,,
mean,11/7/2025,F,CTRL.WTH.42_P3_M,0.0279,CTRL.WTH.44_P8_M,,A.M.2,,DONE,6,yes,,0,210,210,DONE,3510,Y,done,,
cool,11/7/2025,F,HOT.WTH.44_P5_C,0.0269,HOT.WTH.88_P2_C,,H.C.3,,DONE,6,yes,,7,206,213,DONE,3462,Y,3A14,,
cool,11/9/2025,M,F2.MEAN.CTRL_P2_C,,F3.CTRL.CTRL_P1_C,,A.A.C.54,wing close wait to freeze,DONE,8,NO,,,,,,,,,,
mean,11/9/2025,M,CTRL.WTH.44_P8_M,0.0165,CTRL.WTH.42_P3_M,,A.M.2,wing close wait to freeze,DONE,?,yes,,,,,,,,,,
mean,11/9/2025,M,CTRL.WTH.15_P5_M,0.0172,CTRL.WTH.1_P6_W,,,,DONE,9,yes,,,,,,,,,,
warm,11/9/2025,F,CTRL.WTH.60_P3_W,0.0205,CTRL.WTH.1_P6_W,,A.W.4,,DONE,9,yes,,51,9,60,DONE,9717,,,,
mean,11/11/2025,F,WARM.WTH.1_P2_M,0.0301,WARM.WTH.41_P2,,W.M.5,,DONE,7,yes,,0,245,245,DONE,3985,Y,done,,
warm,11/11/2025,F,CTRL.WTH.42_P7_W,0.0297,CTRL.WTH.44_P5_W,,A.W.6,,DONE,7,yes,,20,15,35,DONE,2841,,,,
cool,11/11/2025,F,CTRL.WTH.158_P3_C,0.023,CTRL.WTH.39_P2_C,,A.C.7,,DONE,7,yes,,0,0,0,,,,,,
cool,11/11/2025,M,HOT.WTH.88_P2_C,,HOT.WTH.44_P5_C,,H.C.3,,DONE,7,yes,,,,,,,,,,
cool,11/11/2025,M,CTRL.WTH.39_P2_C,,CTRL.WTH.158_P3_C,,A.C.7,,DONE,7,yes,,,,,,,,,,
ambient,11/13/2025,F,HOT.WTH.15_P4_A,0.0313,HOT.WTH.25_P2_A,,H.A.8,,DONE,6,yes,,0,36,36,DONE,4370,Y,,,
ambient,11/13/2025,F,HOT.WTH.60_P3_A,0.0256,HOT.WTH.53_P3_A,,H.A.9,,DONE,6,yes,,37,71,108,DONE,5760,Y,,,
mean,11/13/2025,F,F4.COOL.HOT_P3_M,0.0267,HOT.WTH.48_P2_M,,C.H.M.10,,DONE,6,yes,,6,159,165,,,Y,1F2,,
mean,11/13/2025,F,CTRL.WTH.44_P7_M,0.026,CTRL.WTH.15_P5_M,,A.M.11,,DONE,6,yes,,13,0,13,DONE,7745,,,,
mean,11/13/2025,M,F4.COOL.CTRL_P3_M,,F1.CTRL.CTRL_P5_M,,A.A.M.28,,DONE,19,yes,,,,,,,,,,
mean,11/13/2025,M,CTRL.WTH.38_P4_M,,CTRL.WTH.60_P2_M,,A.M.17,,72,,,,,,,,,,,,
mean,11/13/2025,M,CTRL.WTH.17_P2_M,,CTRL.WTH.43_P2_M,,A.M.35,,DONE,14,yes,,,,,,,,,,
mean,11/13/2025,M,CTRL.WTH.16_P2_M,,CTRL.WTH.152_P5_M,,A.M.33,,DONE,19,yes,,,,,,,,,,
mean,11/13/2025,M,HOT.WTH.78_P1_M,,HOT.WTH.26_P2_M,,H.M.15,,DONE,6,yes,,,,,,,,,,
warm,11/13/2025,F,CTRL.WTH.16_P4_W,0.0244,CTRL.WTH.43_P3_W,,A.W.12,,DONE,6,yes,,11,0,11,DONE,3756,,,,
warm,11/13/2025,M,CTRL.WTH.1_P6_W,,CTRL.WTH.60_P3_W,,A.W.4,,DONE,6,yes,,,,,,,,,,
cool,11/13/2025,F,F1.COOL.WARM_P8_C,0.0271,WARM.WTH.117_P5,,C.W.C.13,,DONE,6,yes,,0,67,67,,,Y,,,
cool,11/13/2025,M,WARM.WTH.117_P5,,F1.COOL.WARM_P8_C,,C.W.C.13,,DONE,6,yes,,,,,,,,,,
cool,11/13/2025,M,F1.COOL.CTRL_P2_C,,CTRL.WTH.48_P3_C,,A.C.78,,DONE,6,yes,,61,64,125,,?,Y,,,
cool,11/13/2025,M,CTRL.WTH.44_P2_C,,CTRL.WTH.60_P4,,,,DONE,14,yes,,,,,,,,,,
cool,11/13/2025,M,CTRL.WTH.50_P5_C,,CTRL.WTH.44_P1_C,,A.C.18,,DONE,6,yes,,,,,,,,,,
cool,11/13/2025,M,HOT.WTH.23_P7_C,,HOT.WTH.102_P6_C,,H.C.19,,DONE,6,yes,,,,,,,,,,
warm,11/15/2025,M,HOT.WTH.84_P2_W,,HOT.WTH.86_P1_W,,H.W.25,wing closed ,70,,,,,,,,,,,,
mean,11/15/2025,F,F1.CTRL.HOT_P7_M,0.0345,HOT.WTH.60_P2_M,,A.H.M.14,,DONE,6,NO,,0,257,257,,,Y,1E8,,
mean,11/15/2025,F,HOT.WTH.26_P2_M,0.0326,HOT.WTH.78_P1_M,,H.M.15,,DONE,4,yes,,0,199,199,DONE,6106,Y,,,
mean,11/15/2025,F,F1.WARM.CTRL_P1_M,0.026,CTRL.WTH.25_P4_M,,W.A.M.16,,DONE,6,yes,,1,81,82,,,Y,1E7,,
mean,11/15/2025,F,CTRL.WTH.60_P2_M,0.0373,CTRL.WTH.38_P4_M,,A.M.17,,DONE,6,yes,,2,221,223,DONE,3887,Y,done,,
hot,11/15/2025,M,CTRL.WTH.1_P9_H,,CTRL.WTH.60_P6_H,,A.H.23,,DONE,6,yes,,,,,,,,,,
cool,11/15/2025,F,CTRL.WTH.44_P1_C,0.0254,CTRL.WTH.50_P5_C,,A.C.18,,DONE,6,yes,,1,3,4,DONE,7169,,,,
cool,11/15/2025,F,HOT.WTH.102_P6_C,0.0485,HOT.WTH.23_P7_C,,H.C.19,,DONE,6,yes,,22,229,251,DONE,3566,Y,3A1,,
cool,11/15/2025,F,F1.CTRL.CTRL_P6_C,0.0367,F2.WARM.CTRL_P2_C,,A.A.C.20,,DONE,6,yes,,4,29,33,,,,,,
cool,11/15/2025,M,HOT.WTH.42_P5_C,,,HC,,wing closed// dead 19/12,DONE,12,yes,dead,,,,,,,,,
cool,11/15/2025,M,F1.WARM.HOT_P8_C,,F4.WARM.HOT_P1,,W.H.C.43,wing closed ,DONE,17,yes,,,,,,,,,,
cool,11/15/2025,M,HOT.WTH.22_P9_c,,HOT.WTH.110_P3_C,,H.C.89,wing closed ,DONE,12,yes,,,,,,,,,,
cool,11/15/2025,M,F2.WARM.CTRL_P2_C,,F1.CTRL.CTRL_P6_C,,A.A.C.20,,DONE,6,yes,,,,,,,,,,
cool,11/15/2025,M,F5.CTRL.HOT_P3_C,,F2.COOL.HOT_P1_C,,C.H.C.278,wing closed ,DONE,12,yes,,,,,,,,,,
cool,11/15/2025,M,HOT.WTH.157_P4_C,,HOT.WTH.25_P5_C,,H.C.42,wing closed ,DONE,17,yes,,,,,,,,,,
cool,11/15/2025,M,CTRL.WTH.13_P6_C,,CTRL.WTH.164_P4_C,,A.C.31,,DONE,6,yes,,,,,,,,,,
ambient,11/15/2025,F,WARM.WTH.44_P1_A,0.0375,WARM.WTH.1_P4_C,,W.A.21,,DONE,6,yes,,38,0,38,DONE,3979,,,,
ambient,11/15/2025,F,CTRL.WTH.94_P2_A,0.0324,CTRL.WTH.44_P6_A,,C.A.22,,DONE,6,yes,,2,47,49,DONE,2613,Y,,,
ambient,11/15/2025,M,CTRL.WTH.50_P4_A,,CTRL.WTH.60_P5_A,,A.A.57,,DONE,6,yes,,,,,,,,,,
ambient,11/15/2025,M,CTRL.WTH.44_P6_A,,CTRL.WTH.94_P2_C,,A.A.22,"wing closed, other side of paper",DONE,10,yes,,,,,,,,,,
ambient,11/15/2025,M,WARM.WTH.1_P4_C,,WARM.WTH.44_P1_C,,W.A.21,wing closed ,DONE,10,yes,,,,,,,,,,
cool,11/17/2025,M,WARM.WTH.104_P4_C,,F1.CTRL.WARM_P6_C,,A.W.C.32,male too active ,DONE,10,yes,,,,,,,,,,
hot,11/17/2025,F,CTRL.WTH.60_P6_H,0.0223,CTRL.WTH.60_P6_H,,A.H.23,,DONE,8,yes,,8,160,168,DONE,1554,Y,2F1,,
hot,11/17/2025,F,F1.WARM.CTRL_P5_H,0.018,,WAH,W.A.H.24,dead,DONE,8,yes,dead,,,,,,,,,
warm,11/17/2025,F,HOT.WTH.86_P1_W,0.0401,HOT.WTH.84_P2_W,,H.W.25,,DONE,8,yes,,2,185,187,DONE,5468,Y,,,
warm,11/17/2025,F,F1.CTRL.HOT_P8_W,0.0357,HOT.WTH.17_P7_W,,A.H.W.26,,DONE,8,yes,,2,207,209,,,Y,,,
warm,11/17/2025,F,WARM.WTH.37_P2_W,0.037,WARM.WTH.78_P5_W,,W.W.27,,DONE,10,yes,,0,226,226,DONE,8788,Y,,,
warm,11/17/2025,M,HOT.WTH.17_P7_W,,F1.CTRL.HOT_P8_W,,A.H.W.26,,DONE,10,yes,,,,,,,,,,
mean,11/17/2025,F,F1.CTRL.CTRL_P5_M,0.0245,F4.COOL.CTRL_P3_M,,A.A.M.28,,DONE,10,yes,,6,204,210,,,Y,1C7,,
mean,11/17/2025,M,HOT.WTH.48_P2_M,,F4.COOL.HOT_P3_M,,C.H.M.10,,DONE,10,yes,,,,,,,,,,
mean,11/17/2025,M,CTRL.WTH.25_P4_M,,F1.WARM.CTRL_P1_M,,W.A.M.16,,DONE,10,yes,,,,,,,,,,
mean,11/17/2025,M,CTRL.WTH.121_P4_M,,CTRL.WTH.53_P4_MAM,,A.M.178,,DONE,10,yes,,,,,,,,,,
mean,11/17/2025,M,HOT.WTH.60_P2_M,,F1.CTRL.HOT_P7_M,,A.H.M.14,,DONE,10,yes,,,,,,,,,,
mean,11/17/2025,M,WARM.WTH.41_P2_M,,WARM.WTH.1_P2_M,,W.M.5,,68,,,,,,,,,,,,
ambient,11/17/2025,F,HOT.WTH.152_P3_A,0.0282,HOT.WTH.48_P1_A,,H.A.29,,DONE,8,yes,,12,159,171,DONE,2046,Y,,,
ambient,11/17/2025,F,HOT.WTH.117_P1_A,0.0296,F6.MEAN.HOT_P3_A,,H.A.30,,DONE,8,yes,,35,176,211,DONE,8066,Y,,,
ambient,11/17/2025,M,CTRL.WTH.1_P5_A,,CTRL.WTH.151_P2_A,,A.A.83,libby_remating,DONE,8,yes,,,,,,,,,,
cool,11/19/2025,F,F1.CTRL.WARM_P6_C,0.0185,WARM.WTH.104_P4_C,,A.W.C.32,,DONE,8,yes,,55,0,55,,,,,,
cool,11/19/2025,F,CTRL.WTH.164_P4_C,0.025,CTRL.WTH.13_P6_C,,A.C.31,,DONE,8,yes,,153,27,180,DONE,4003,,,,
cool,11/19/2025,M,F5.CTRL.HOT_P15_C,,HOT.WTH.96_P6_C,,H.C.349,,DONE,8,yes,,,,,,,,,,
cool,11/19/2025,M,HOT.WTH.106_P6_C,,HOT.WTH.92_P1_C,,H.C.77,,DONE,8,yes,,,,,,,,,,
mean,11/19/2025,F,CTRL.WTH.152_P5_M,0.0212,CTRL.WTH.16_P2_M,,A.M.33,,DONE,13,yes,,3,173,176,DONE,4206,Y,1G7,,
mean,11/19/2025,F,F2.WARM.HOT_P7_M,0.0248,HOT.WTH.41_P2_M,,W.H.M.34,,DONE,8,yes,,13,158,171,,,Y,1 E6,,
mean,11/19/2025,F,CTRL.WTH.43_P2_M,0.0343,CTRL.WTH.17_P2_M,,A.M.35,,DONE,8,yes,,0,42,42,DONE,8988,Y,1G2,,
mean,11/19/2025,M,HOT.WTH.41_P2_M,,F2.WARM.HOT_P7_M,,W.H.M.34,,DONE,8,yes,,,,,,,,,,
