clutchID,eggID,code_name,first photo,size_01,repeatability photo,size_02,,
A.A.297,AA297.04,103,1,1.97E-01,,,,
A.M.36,AM36.04,104,1,2.25E-01,,,,
A.A.189,AA289.05,105,1,2.20E-01,,,,
A.M.178,AM178.10,109,1,2.02E-01,,,,
A.A.172,AA172.10,110,1,2.28E-01,,,,
A.M.105,AM105.05,111,1,2.04E-01,,,,
A.A.81,AA81.02,113,1,1.96E-01,,,,
A.A.83,AA83.10,115,1,1.90E-01,,,,
A.M.178,AM178.05,116,1,2.15E-01,,,,
A.A.142,AA142.04,119,1,2.19E-01,,,,
C.A.22,CA22.07,122,1,2.24E-01,,,,
A.A.189,AA289.10,123,1,2.46E-01,,,,
A.M.106,AM106.01,126,1,1.84E-01,,,,
A.M.321,AM321.08,128,1,2.22E-01,,,,
A.A.81,AA81.09,130,1,2.15E-01,,,,
A.M.178,AM178.03,131,1,2.14E-01,1,2.12E-01,,
C.A.22,CA22.05,133,1,2.20E-01,,,,
A.A.139,AA139.01,141,1,2.00E-01,,,,
A.M.17,AM17.07,142,1,2.08E-01,,,,
A.M.395,AM395.07,143,1,2.04E-01,,,,
A.M.36,AM36.02,144,1,2.07E-01,,,,
A.M.35,AM35.01,149,1,2.05E-01,,,,
C.A.22,CA22.09,156,1,2.56E-01,,,,
A.M.2,AM2.07,163,1,2.26E-01,,,,
C.A.22,CA22.10,166,1,2.30E-01,1,2.21E-01,,
A.A.189,AA289.04,170,1,2.24E-01,,,,
A.M.105,AM105.03,179,1,2.12E-01,,,,
A.M.178,AM178.02,180,1,2.09E-01,,,,
A.M.395,AM395.01,184,1,1.99E-01,,,,
A.M.178,AM178.06,187,1,2.01E-01,,,,
A.A.81,AA81.07,188,1,2.11E-01,,,,
A.M.37,AM37.07,190,1,2.00E-01,,,,
A.M.36,AM36.03,194,1,1.94E-01,,,,
A.A.142,AA142.07,198,1,2.04E-01,,,,
A.M.17,AM17.02,214,1,1.83E-01,,,,
A.M.2,AM2.06,221,1,2.09E-01,,,,
A.A.172,AA172.07,224,1,2.29E-01,,,,
A.M.2,AM2.04,226,1,2.21E-01,,,,
A.A.57,AA57.06,229,1,2.04E-01,1,2.02E-01,,
A.M.178,AM178.08,237,1,2.13E-01,,,,
A.M.395,AM395.02,251,1,1.94E-01,1,2.10E-01,,
A.M.106,AM106.06,254,1,1.94E-01,1,1.93E-01,,
A.M.395,AM395.05,255,1,2.00E-01,,,,
A.M.321,AM321.09,258,1,2.28E-01,,,,
A.A.189,AA289.06,260,1,2.14E-01,"image not saved, oops!",,,
A.A.57,AA57.02,261,1,2.05E-01,,,,
A.A.297,AA297.05,271,1,1.89E-01,1,2.00E-01,,
A.M.36,AM36.10,272,1,2.31E-01,,,,
A.M.17,AM17.08,279,1,1.93E-01,,,,
A.A.172,AA172.04,286,1,2.33E-01,,,,
A.M.106,AM106.02,288,1,1.91E-01,,,,
A.M.35,AM35.02,289,1,2.00E-01,,,,
A.M.2,AM2.02,290,1,2.06E-01,,,,
A.M.37,AM37.04,293,1,1.91E-01,,,,
A.A.139,AA139.08,304,1,1.98E-01,,,,
A.A.189,AA289.07,310,1,2.96E-01,"this egg is genuinely this big, I have measured it twice",,,
A.A.172,AA172.05,312,1,2.18E-01,,,,
A.A.57,AA57.05,313,1,1.99E-01,,,,
A.M.395,AM395.03,319,1,2.12E-01,,,,
A.M.178,AM178.09,320,1,2.26E-01,,,,
A.M.321,AM321.02,324,1,2.17E-01,,,,
A.M.17,AM17.05,325,1,1.98E-01,,,,
A.M.37,AM37.03,326,1,1.81E-01,,,,
A.A.57,AA57.09,329,1,1.84E-01,,,,
A.A.142,AA142.08,333,1,2.16E-01,,,,
A.A.297,AA297.02,349,1,1.93E-01,,,,
A.M.321,AM321.03,350,1,1.96E-01,,,,
A.A.142,AA142.02,357,1,2.07E-01,,,,
A.M.395,AM395.04,361,1,1.94E-01,,,,
A.A.297,AA297.07,369,1,1.97E-01,1,2.06E-01,,
A.M.321,AM321.06,373,,,,,,
A.A.81,AA81.10,378,,,,,,
A.A.172,AA172.08,381,,,,,,
A.M.17,AM17.04,382,,,,,,
A.M.37,AM37.02,387,,,,,,
A.A.297,AA297.10,389,,,,,,
A.A.83,AA83.04,392,,,,,,
A.M.105,AM105.04,402,,,,,,
A.M.37,AM37.08,424,,,,,,
A.M.321,AM321.04,425,1,1.86E-01,1,1.94E-01,,
A.M.395,AM395.08,432,,,,,,
A.A.81,AA81.03,440,,,,,,
A.A.172,AA172.02,442,,,,,,
A.M.395,AM395.09,453,,,,,,
A.A.83,AA83.03,456,,,,,,
A.M.178,AM178.01,458,,,,,,
A.A.144,AA144.04,461,,,,,,
A.M.37,AM37.01,468,,,,,,
A.M.321,AM321.01,469,,,,,,
A.A.142,AA142.10,470,,,,,,
A.M.105,AM105.10,472,,,,,,
A.A.139,AA139.04,479,,,,,,
A.A.189,AA289.03,482,,,,,,
A.M.2,AM2.03,483,,,,,,
A.M.105,AM105.07,498,,,,,,
A.A.142,AA142.01,500,,,,,,
A.M.36,AM36.05,510,,,,,,
A.M.106,AM106.05,512,,,,,,
A.A.57,AA57.07,513,,,,,,
A.A.57,AA57.04,523,1,1.92E-01,1,2.04E-01,,
A.A.144,AA144.03,526,,,,,,
A.A.142,AA142.09,527,,,,,,
A.M.395,AM395.10,528,1,2.07E-01,1,2.06E-01,,
C.A.22,CA22.01,532,,,,,,
A.A.189,AA289.02,546,,,,,,
A.A.189,AA289.08,548,,,,,,
A.A.144,AA144.01,549,,,,,,
A.M.105,AM105.02,556,,,,,,
A.M.17,AM17.09,567,,,,,,"forgot to save the first image, ooops"
A.A.139,AA139.09,575,1,2.13E-01,1,2.18E-01,,
A.M.17,AM17.03,576,,,,,,
A.M.105,AM105.06,587,,,,,,
A.A.139,AA139.02,590,1,2.11E-01,,,,
C.A.22,CA22.03,596,,,,,,
A.M.105,AM105.09,599,,,,,,
A.M.321,AM321.05,601,,,,,,
A.M.106,AM106.09,602,1,1.80E-01,1,1.82E-01,,
A.A.144,AA144.10,607,,,,,,
A.M.2,AM2.05,616,,,,,,
A.A.139,AA139.06,622,,,,,,
A.A.83,AA83.01,625,,,,,,
A.M.105,AM105.08,644,,,,,,
A.A.297,AA297.08,651,,,,,,
A.M.35,AM35.08,655,1,1.98E-01,1,1.99E-01,,
A.A.83,AA83.05,656,,,,,,
A.M.2,AM2.10,657,,,,,,
C.A.22,CA22.08,658,,,,,,
A.M.321,AM321.07,661,,,,,,
A.M.2,AM2.08,663,,,,,,
A.M.37,AM37.06,665,,,,,,
A.A.57,AA57.08,667,,,,,,
A.M.2,AM2.01,668,,,,,,
A.M.17,AM17.10,674,1,1.76E-01,1,1.70E-01,,
A.A.139,AA139.05,676,,,,,,
A.M.35,AM35.06,682,,,,,,
A.A.172,AA172.01,686,,,,,,
C.A.22,CA22.04,690,,,,,,
A.A.172,AA172.06,695,,,,,,
A.A.81,AA81.08,708,,,,,,
A.A.81,AA81.04,709,,,,,,
A.A.57,AA57.01,712,,,,,,
A.M.37,AM37.05,724,,,,,,
A.M.35,AM35.04,727,1,1.98E-01,1,1.96E-01,,
A.A.81,AA81.05,741,1,1.97E-01,1,1.95E-01,,
A.M.106,AM106.03,743,,,,,,
A.M.35,AM35.07,748,,,,,,
A.A.189,AA289.09,749,1,2.30E-01,1,2.33E-01,,
A.A.297,AA297.01,750,,,,,,
A.A.144,AA144.07,753,,,,,,
A.A.81,AA81.06,768,,,,,,
A.A.144,AA144.06,769,,,,,,
A.A.139,AA139.03,774,,,,,,
A.A.142,AA142.06,778,,,,,,
A.M.106,AM106.10,780,,,,,,
A.M.178,AM178.07,781,,,,,,
A.M.36,AM36.08,798,,,,,,
A.A.142,AA142.05,800,,,,,,
A.M.395,AM395.06,806,,,,,,
A.M.106,AM106.08,807,,,,,,
A.A.172,AA172.03,808,,,,,,
A.A.139,AA139.10,810,,,,,,
A.A.144,AA144.05,813,1,2.09E-01,1,2.00E-01,,
A.A.189,AA289.01,818,,,,,,
A.M.17,AM17.01,821,,,,,,
A.M.36,AM36.01,823,,,,,,
A.M.36,AM36.07,824,,,,,,
A.A.83,AA83.08,826,,,,,,
A.M.321,AM321.10,828,,,,,,
C.A.22,CA22.02,837,,,,,,
A.A.142,AA142.03,841,,,,,,
A.A.144,AA144.02,842,,,,,,
A.M.36,AM36.06,843,,,,,,
A.M.35,AM35.10,845,,,,,,
A.M.105,AM105.01,863,,,,,,
A.A.83,AA83.09,878,,,,,,
A.A.144,AA144.08,879,,,,,,
A.A.297,AA297.09,887,,,,,,
A.A.83,AA83.02,890,,,,,,
A.M.2,AM2.09,894,,,,,,
A.M.106,AM106.04,896,,,,,,
A.A.144,AA144.09,901,,,,,,
A.A.57,AA57.10,902,1,2.00E-01,1,2.08E-01,,
C.A.22,CA22.06,903,1,2.25E-01,1,2.29E-01,,
A.A.139,AA139.07,911,,,,,,
A.M.35,AM35.09,913,1,2.22E-01,1,2.29E-01,,
A.M.35,AM35.05,919,,,,,,
A.M.37,AM37.10,924,,,,,,
A.A.83,AA83.06,926,,,,,,
A.A.57,AA57.03,930,1,2.10E-01,1,1.93E-01,,
A.M.178,AM178.04,932,,,,,,
A.M.35,AM35.03,939,,,,,,
A.A.172,AA172.09,948,,,,,,
A.M.17,AM17.06,952,,,,,,
A.A.81,AA81.01,965,,,,,,
A.A.297,AA297.03,969,,,,,,
A.A.83,AA83.07,976,,,,,,
A.M.37,AM37.09,984,,,,,,
A.M.36,AM36.09,994,,,,,,
A.A.297,AA297.06,996,1,1.95E-01,1,1.88E-01,,
A.M.106,AM106.07,998,1,1.74E-01,1,1.60E-01,,
