"subclutch.id","site","femaleid","max.hatch","egg.number","tree.id","mat.collection.date","mat.coll.day","treehday","ndvi_halfdate","halfdate","halfslope","treatment"
"COLD.ART.3","ART","ART.3",4,4,"ART119",2024-12-04,339,NA,NA,143.647647647648,0.176650809556229,"Cold"
"COLD.BLG.15","BLG","BLG.15",14,15,"BLG87",2024-12-11,346,NA,NA,138.876876876877,0.244010324176574,"Cold"
"COLD.EDI.12","EDI","EDI.12",1,1,"EDI133",2024-12-07,342,NA,NA,NA,NA,"Cold"
"COLD.GLF.16","GLF","GLF.16",8,15,"GLF44",2024-12-11,346,NA,NA,147.795795795796,0.112015661565654,"Cold"
"COLD.GLF.5","GLF","GLF.5",13,15,"GLF6",2024-12-05,340,NA,NA,134.802802802803,0.230120658338616,"Cold"
"COLD.GLF.9","GLF","GLF.9",1,2,"GLF44",2024-12-07,342,NA,NA,NA,NA,"Cold"
"COLD.MCH.7","MCH","MCH.7",1,1,"MCH57",2024-12-07,342,NA,NA,NA,NA,"Cold"
"COLD.MUN.1","MUN","MUN.1",14,15,"MUN122",2024-12-04,339,NA,NA,135.023023023023,0.254421432784087,"Cold"
"COLD.URD.1","URD","URD.1",13,15,"URD",2024-12-27,362,NA,NA,136.674674674675,0.340791881953803,"Cold"
"COLD.URD.2","URD","URD.2",3,3,"URD",2024-12-27,362,NA,NA,150.298298298298,0.298835688562021,"Cold"
"COLD.WTH.1","WTH","WTH.1",11,15,"T19",2024-11-15,320,102.751112558722,65.08508509,135.573573573574,0.287434266674799,"Cold"
"COLD.WTH.102","WTH","WTH.102",12,13,"14128",2024-12-06,341,NA,NA,139.447447447447,0.242385126395005,"Cold"
"COLD.WTH.103","WTH","WTH.103",13,15,"14128",2024-12-06,341,NA,NA,137.775775775776,0.385282319447193,"Cold"
"COLD.WTH.104","WTH","WTH.104",9,9,"14128",2024-12-06,341,NA,NA,137.703703703704,0.268911429577166,"Cold"
"COLD.WTH.106","WTH","WTH.106",14,15,"14128",2024-12-06,341,NA,NA,137.665665665666,0.696898367481136,"Cold"
"COLD.WTH.110","WTH","WTH.110",15,15,"T11",2024-12-06,341,98.6583576948369,60.96296296,139.538538538539,0.196112855879685,"Cold"
"COLD.WTH.111","WTH","WTH.111",7,8,"T14",2024-12-06,341,98.3931460949248,62.74074074,139.097097097097,0.477811598388351,"Cold"
"COLD.WTH.113","WTH","WTH.113",5,10,"T14",2024-12-06,341,98.3931460949248,62.74074074,NA,NA,"Cold"
"COLD.WTH.114","WTH","WTH.114",22,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,137.665665665666,0.255643973652469,"Cold"
"COLD.WTH.117","WTH","WTH.117",16,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,139.307307307307,0.272351434131113,"Cold"
"COLD.WTH.118","WTH","WTH.118",15,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,136.590590590591,0.0827875125790448,"Cold"
"COLD.WTH.12","WTH","WTH.12",5,5,"17321",2024-11-25,330,NA,NA,136.278278278278,0.260767927036501,"Cold"
"COLD.WTH.121","WTH","WTH.121",12,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,137.005005005005,0.354497169222227,"Cold"
"COLD.WTH.123","WTH","WTH.123",15,15,"T13",2024-12-06,341,98.2351958749806,60.66666667,139.096096096096,0.219790392184494,"Cold"
"COLD.WTH.127","WTH","WTH.127",4,7,"T12",2024-12-06,341,94.3318303824841,58.81481481,NA,NA,"Cold"
"COLD.WTH.13","WTH","WTH.13",11,15,"17321",2024-11-25,330,NA,NA,137.335335335335,0.135546275931397,"Cold"
