pupa_id,date,notes,death_date,,,,,,,,,
CTRL.URD.1_P1,5/6/2025,dead,27/10/25,,,,,,,,,
HOT.WTH.130_P1,5/6/2025,,,,,,,,,,,
HOT.WTH.23_P1,5/6/2025,,,,,,,,,,,
HOT.WTH.23_P2,5/6/2025,dead,11/11/2025,,,,,,,,,
HOT.WTH.23_P3,5/7/2025,,,,,,,,,,,
HOT.WTH.23_P4,5/7/2025,,,,,,,,,,,
HOT.WTH.23_P5,5/7/2025,dead_end,,,,,,,,,,
F1.COOL.HOT_P1,5/7/2025,,,,,,,,,,,
HOT.WTH.17_P1,5/7/2025,,,,,,,,,,,
HOT.WTH.25_P1,5/7/2025,,,,,,,,,,,
CTRL.WTH.17_P1,5/7/2025,dead_end,,,,,,,,,,
HOT.GLF.5_P3,5/8/2025,,,,,,,,,,,
HOT.GLF.5_P4,5/8/2025,,,,,,,,,,,
F1.CTRL.HOT_P1,5/8/2025,,,,,,,,,,,
F1.CTRL.HOT_P2,5/8/2025,dead,9/11/2025,,,,,,,,,
F1.CTRL.HOT_P3,5/8/2025,,,,,,,,,,,
F1.CTRL.HOT_P4,5/8/2025,,,,,,,,,,,
HOT.WTH.44_P1,5/8/2025,,,,,,,,,,,
HOT.WTH.44_P2,5/8/2025,,,,,,,,,,,
HOT.WTH.23_P6,5/8/2025,,,,,,,,,,,
HOT.WTH.22_P1,5/8/2025,dead_end,,,,,,,,,,
CTRL.GLF.5_P1,5/8/2025,,,,,,,,,,,
CTRL.GLF.5_P2,5/8/2025,,,,,,,,,,,
F4.CTRL.HOT_P1,5/8/2025,dead,11/5/2025,,,,,,,,,
HOT.WTH.43_P1,5/9/2025,,,,,,,,,,,
HOT.WTH.43_P2,5/9/2025,,,,,,,,,,,
HOT.WTH.43_P3,5/9/2025,dead,11/3/2025,,,,,,,,,
HOT.WTH.25_P2,5/9/2025,,,,,,,,,,,
HOT.WTH.41_P1,5/9/2025,,,,,,,,,,,
HOT.WTH.41_P2,5/9/2025,,,,,,,,,,,
HOT.GLF.5_P5,5/9/2025,,,,,,,,,,,
HOT.WTH.44_P3,5/9/2025,,,,,,,,,,,
HOT.WTH.1_P1,5/9/2025,,,,,,,,,,,
HOT.WTH.22_P2,5/9/2025,,,,,,,,,,,
HOT.WTH.22_P3,5/9/2025,,,,,,,,,,,
HOT.WTH.22_P4,5/9/2025,,,,,,,,,,,
HOT.WTH.22_P5,5/9/2025,,,,,,,,,,,
HOT.WTH.23_P7,5/9/2025,,,,,,,,,,,
CTRL.WTH.38_P1,5/9/2025,,,,,,,,,,,
HOT.WTH.44_P4,5/10/2025,dead,11/3/2025,,,,,,,,,
HOT.WTH.44_P5,5/10/2025,,,,,,,,,,,
HOT.WTH.44_P6,5/10/2025,,,,,,,,,,,
HOT.WTH.43_P4,5/10/2025,,,,,,,,,,,
HOT.WTH.106_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.106_P2,5/10/2025,,,,,,,,,,,
HOT.WTH.86_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.60_P1,5/10/2025,dead,16/10/25,,,,,,,,,
HOT.WTH.25_P4,5/10/2025,,,,,,,,,,,
HOT.WTH.41_P3,5/10/2025,,,,,,,,,,,
HOT.WTH.167_P1,5/10/2025,,,,,,,,,,,
F3.CTRL.HOT_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.157_P1,5/10/2025,,,,,,,,,,,
HOT.URD.1_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.29_P1,5/10/2025,dead,27/10/25,,,,,,,,,
HOT.WTH.117_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.74_P3,5/10/2025,,,,,,,,,,,
HOT.WTH.74_P4,5/10/2025,,,,,,,,,,,
HOT.WTH.74_P5,5/10/2025,dead,10/9/2025,,,,,,,,,
HOT.WTH.74_P6,5/10/2025,,,,,,,,,,,
HOT.WTH.38_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.1_P1,5/10/2025,,,,,,,,,,,
F4.CTRL.HOT_P1,5/10/2025,,,,,,,,,,,
F4.COOL.HOT_P4,5/10/2025,,,,,,,,,,,
F1.CTRL.HOT_P5,5/10/2025,,,,,,,,,,,
HOT.WTH.22_P6,5/10/2025,,,,,,,,,,,
HOT.WTH.42_P1,5/10/2025,,,,,,,,,,,
HOT.WTH.42_P2,5/10/2025,,,,,,,,,,,
