female_ID,capture_date
WTH.1,21/11/2025
WTH.2,19/11/2025
WTH.3,21/11/2025
WTH.4,19/11/2025
WTH.5,19/11/2025
WTH.6,19/11/2025
WTH.7,19/11/2025
WTH.8,21/11/2025
WTH.9,19/11/2025
WTH.10,21/11/2025
WTH.11,24/11/2025
WTH.12,24/11/2025
WTH.13,24/11/2025
WTH.14,24/11/2025
WTH.15,24/11/2025
WTH.16,24/11/2025
WTH.17,24/11/2025
WTH.18,24/11/2025
WTH.19,24/11/2025
WTH.20,24/11/2025
WTH.21,24/11/2025
WTH.22,24/11/2025
WTH.23,24/11/2025
WTH.24,24/11/2025
WTH.25,24/11/2025
WTH.26,24/11/2025
WTH.27,24/11/2025
WTH.28,24/11/2025
WTH.29,24/11/2025
WTH.30,24/11/2025
WTH.31,24/11/2025
WTH.32,24/11/2025
WTH.33,24/11/2025
WTH.34,28/11/2025
WTH.35,28/11/2025
WTH.36,28/11/2025
WTH.37,28/11/2025
WTH.38,28/11/2025
WTH.39,28/11/2025
WTH.40,28/11/2025
WTH.41,28/11/2025
WTH.42,28/11/2025
WTH.43,28/11/2025
WTH.44,28/11/2025
WTH.45,28/11/2025
WTH.46,28/11/2025
WTH.47,28/11/2025
WTH.48,28/11/2025
WTH.49,28/11/2025
WTH.50,28/11/2025
WTH.51,28/11/2025
WTH.52,28/11/2025
WTH.53,28/11/2025
WTH.54,28/11/2025
WTH.55,28/11/2025
WTH.56,28/11/2025
WTH.57,28/11/2025
WTH.58,28/11/2025
WTH.59,28/11/2025
WTH.60,28/11/2025
WTH.61,28/11/2025
WTH.62,28/11/2025
WTH.63,28/11/2025
WTH.64,28/11/2025
WTH.65,28/11/2025
WTH.66,28/11/2025
WTH.67,28/11/2025
WTH.68,28/11/2025
WTH.69,28/11/2025
WTH.70,28/11/2025
WTH.71,28/11/2025
WTH.72,28/11/2025
WTH.73,28/11/2025
WTH.74,28/11/2025
WTH.75,28/11/2025
WTH.76,28/11/2025
WTH.77,28/11/2025
WTH.78,28/11/2025
WTH.79,28/11/2025
17304.8.12.1,08/12/2025
17304.8.12.2,08/12/2025
17307.8.12.3,08/12/2025
14128.1.12.4,01/12/2025
17207.8.12.5,08/12/2025
17207.8.12.6,08/12/2025
17863.26.11.7,26/11/2025
16682.8.12.8,08/12/2025
16682.26.11.9,26/11/2025
16682.26.11.10,26/11/2025
14128.1.12.11,01/12/2025
14128.1.12.12,01/12/2025
16682.8.12.13,08/12/2025
20709.1.12.14,01/12/2025
17307.8.12.15,08/12/2025
16682.8.12.16,08/12/2025
17321.8.12.17 ,08/12/2025
14128.1.12.18 ,01/12/2025
17307.8.12.19,08/12/2025
17307.8.12.20,08/12/2025
17307.8.12.21,08/12/2025
17307.5.12.22,05/12/2025
1428.1.12.23,01/12/2025
178656.26.11.24,26/11/2025
17321.8.12.25,08/12/2025
16682.6.12.26,06/12/2025
17863.8.12.27,08/12/2025
17863.8.12.28,08/12/2025
17028.8.12.29,08/12/2025
17321.6.12.30,06/12/2025
17321.6.12.31,06/12/2025
17321.8.12.32,08/12/2025
17321.8.12.33,08/12/2025
7307.5.11.34,05/11/2025
17863.10.12.35,10/12/2025
17304.3.12.36,03/12/2025
17307.26.11.37,26/11/2025
17307.26.11.38,26/11/2025
17307.8.11.39,08/11/2025
17321.8.12.40,08/12/2025
17321.8.12.42,08/12/2025
17321.1.12.43,01/12/2025
17307.10.12.44,10/12/2025
17863.10.12.45,10/12/2025
14128.1.12.46,01/12/2025
16682.26.11.47,26/11/2025
16682.26.11.48,26/11/2025
17307.10.12.49,10/12/2025
1668.8.12.51,08/12/2025
1668.8.12.52,08/12/2025
1786.8.12.53,08/12/2025
1786.8.12.54,08/12/2025
16682.8.12.55,08/12/2025
16682.8.12.56,08/12/2025
16682.8.12.57,08/12/2025
16682.8.12.58,08/12/2025
16682.8.12.59,08/12/2025
