clutch_code,egg_number,area,mean_area
WTH.1,1,1.82E-01,
WTH.1,2,2.13E-01,
WTH.1,3,2.20E-01,
WTH.1,4,2.07E-01,
WTH.1,5,1.94E-01,
WTH.1,6,1.91E-01,
WTH.1,7,1.81E-01,
WTH.1,8,1.97E-01,
WTH.1,9,1.83E-01,
WTH.1,10,2.32E-01,2.00E-01
WTH.2,1,1.77E-01,
WTH.2,2,1.90E-01,
WTH.2,3,1.88E-01,
WTH.2,4,2.18E-01,
WTH.2,5,2.09E-01,
WTH.2,6,2.18E-01,
WTH.2,7,1.92E-01,
WTH.2,8,2.25E-01,
WTH.2,9,2.07E-01,
WTH.2,10,2.09E-01,2.03E-01
WTH.3,1,2.47E-01,
WTH.3,2,2.21E-01,
WTH.3,3,2.25E-01,
WTH.3,4,2.23E-01,
WTH.3,5,2.42E-01,
WTH.3,6,2.40E-01,
WTH.3,7,2.25E-01,
WTH.3,8,2.19E-01,
WTH.3,9,2.31E-01,
WTH.3,10,2.22E-01,2.29E-01
WTH.5,1,2.39E-01,
WTH.5,2,2.08E-01,
WTH.5,3,1.79E-01,
WTH.5,4,1.90E-01,
WTH.5,5,2.05E-01,
WTH.5,6,2.02E-01,
WTH.5,7,2.02E-01,
WTH.5,8,1.76E-01,
WTH.5,9,1.92E-01,
WTH.5,10,2.26E-01,2.02E-01
WTH.6,1,2.26E-01,
WTH.6,2,2.17E-01,
WTH.6,3,2.21E-01,
WTH.6,4,1.98E-01,
WTH.6,5,2.02E-01,
WTH.6,6,2.23E-01,
WTH.6,7,2.37E-01,
WTH.6,8,1.90E-01,
WTH.6,9,1.99E-01,
WTH.6,10,2.16E-01,2.13E-01
WTH.8,1,2.02E-01,
WTH.8,2,2.14E-01,
WTH.8,3,2.40E-01,
WTH.8,4,2.09E-01,
WTH.8,5,2.23E-01,
WTH.8,6,2.13E-01,
WTH.8,7,2.08E-01,
WTH.8,8,2.30E-01,
WTH.8,9,1.89E-01,
WTH.8,10,2.09E-01,2.14E-01
WTH.9,1,1.90E-01,
WTH.9,2,2.28E-01,
WTH.9,3,1.87E-01,
WTH.9,4,2.27E-01,
WTH.9,5,2.03E-01,
WTH.9,6,2.06E-01,
WTH.9,7,2.02E-01,
WTH.9,8,1.95E-01,
WTH.9,9,1.83E-01,
WTH.9,10,2.04E-01,2.02E-01
WTH.10,1,1.71E-01,
WTH.10,2,1.77E-01,
WTH.10,3,1.84E-01,
WTH.10,4,2.01E-01,
WTH.10,5,1.83E-01,
WTH.10,6,1.88E-01,
WTH.10,7,1.77E-01,
WTH.10,8,1.69E-01,
WTH.10,9,1.57E-01,
WTH.10,10,1.46E-01,1.75E-01
WTH.11,1,2.18E-01,
WTH.11,2,2.11E-01,
WTH.11,3,2.20E-01,
WTH.11,4,2.20E-01,
WTH.11,5,2.03E-01,
WTH.11,6,1.97E-01,
WTH.11,7,2.24E-01,
WTH.11,8,2.19E-01,
WTH.11,9,2.07E-01,
WTH.11,10,2.07E-01,2.13E-01
WTH.12,1,2.04E-01,
WTH.12,2,2.09E-01,
WTH.12,3,2.41E-01,
WTH.12,4,1.77E-01,
WTH.12,5,2.02E-01,
WTH.12,6,1.85E-01,
WTH.12,7,2.12E-01,
WTH.12,8,1.91E-01,
WTH.12,9,1.98E-01,
WTH.12,10,1.95E-01,2.01E-01
WTH.13,1,2.19E-01,
WTH.13,2,2.21E-01,
WTH.13,3,2.25E-01,
WTH.13,4,2.11E-01,
WTH.13,5,2.22E-01,
WTH.13,6,2.31E-01,
WTH.13,7,2.20E-01,
WTH.13,8,2.17E-01,
WTH.13,9,2.18E-01,
WTH.13,10,2.19E-01,2.20E-01
WTH.14,1,1.88E-01,
WTH.14,2,2.14E-01,
WTH.14,3,2.05E-01,2.02E-01
WTH.15,1,2.15E-01,
WTH.15,2,2.14E-01,
WTH.15,3,2.02E-01,
WTH.15,4,1.98E-01,
WTH.15,5,2.01E-01,
WTH.15,6,2.11E-01,
WTH.15,7,2.00E-01,
WTH.15,8,1.75E-01,
WTH.15,9,1.93E-01,
WTH.15,10,2.09E-01,2.02E-01
WTH.17,1,1.88E-01,
WTH.17,2,2.12E-01,
WTH.17,3,1.95E-01,
WTH.17,4,2.36E-01,
WTH.17,5,2.27E-01,
WTH.17,6,2.39E-01,
WTH.17,7,2.00E-01,
WTH.17,8,1.99E-01,
WTH.17,9,1.99E-01,
WTH.17,10,2.10E-01,2.11E-01
WTH.18,1,2.49E-01,
WTH.18,2,1.78E-01,
WTH.18,3,1.77E-01,
WTH.18,4,1.90E-01,
WTH.18,5,1.88E-01,
WTH.18,6,2.11E-01,
WTH.18,7,2.09E-01,
WTH.18,8,2.03E-01,
WTH.18,9,2.41E-01,
WTH.18,10,2.02E-01,2.05E-01
WTH.19,1,2.18E-01,
WTH.19,2,2.09E-01,
WTH.19,3,2.04E-01,
WTH.19,4,2.15E-01,
WTH.19,5,2.10E-01,
WTH.19,6,2.18E-01,
WTH.19,7,2.05E-01,
WTH.19,8,2.14E-01,
WTH.19,9,2.05E-01,
WTH.19,10,1.99E-01,2.10E-01
WTH.20,1,2.00E-01,
WTH.20,2,1.91E-01,
WTH.20,3,2.22E-01,
WTH.20,4,2.19E-01,
WTH.20,5,2.16E-01,
WTH.20,6,2.34E-01,
WTH.20,7,2.01E-01,
WTH.20,8,2.13E-01,
WTH.20,9,2.15E-01,
WTH.20,10,2.42E-01,2.15E-01
WTH.22,1,1.84E-01,
WTH.22,2,1.96E-01,
WTH.22,3,2.04E-01,
WTH.22,4,2.08E-01,
WTH.22,5,1.96E-01,
WTH.22,6,1.78E-01,
WTH.22,7,2.01E-01,
WTH.22,8,1.72E-01,
WTH.22,9,1.98E-01,
WTH.22,10,1.98E-01,1.93E-01
WTH.23,1,2.03E-01,
WTH.23,2,1.91E-01,
WTH.23,3,2.12E-01,
WTH.23,4,2.15E-01,
WTH.23,5,2.19E-01,
WTH.23,6,2.17E-01,
WTH.23,7,2.14E-01,
WTH.23,8,2.21E-01,
WTH.23,9,2.13E-01,
WTH.23,10,2.13E-01,2.12E-01
WTH.24,1,1.96E-01,
WTH.24,2,1.81E-01,
WTH.24,3,2.02E-01,
WTH.24,4,1.94E-01,
WTH.24,5,2.02E-01,
WTH.24,6,1.93E-01,
WTH.24,7,1.86E-01,1.94E-01
WTH.25,1,1.77E-01,
WTH.25,2,1.92E-01,
WTH.25,3,1.81E-01,
WTH.25,4,1.65E-01,
WTH.25,5,1.68E-01,
WTH.25,6,1.73E-01,
WTH.25,7,1.78E-01,
WTH.25,8,1.65E-01,
WTH.25,9,1.51E-01,
WTH.25,10,1.77E-01,1.73E-01
WTH.27,1,2.09E-01,
WTH.27,2,2.18E-01,
WTH.27,3,2.14E-01,
WTH.27,4,2.06E-01,
WTH.27,5,2.02E-01,
WTH.27,6,2.17E-01,
WTH.27,7,1.98E-01,
WTH.27,8,1.99E-01,
WTH.27,9,1.89E-01,
WTH.27,10,1.96E-01,2.05E-01
WTH.28,1,1.94E-01,
WTH.28,2,2.14E-01,
WTH.28,3,1.87E-01,
WTH.28,4,2.18E-01,
WTH.28,5,2.31E-01,
WTH.28,6,2.17E-01,
WTH.28,7,2.23E-01,
WTH.28,8,2.28E-01,
WTH.28,9,2.19E-01,
WTH.28,10,2.15E-01,2.15E-01
WTH.29,1,2.13E-01,
WTH.29,2,2.10E-01,
WTH.29,3,2.13E-01,
WTH.29,4,1.97E-01,
WTH.29,5,2.05E-01,
WTH.29,6,2.12E-01,
WTH.29,7,2.21E-01,
WTH.29,8,2.09E-01,
WTH.29,9,2.11E-01,
WTH.29,10,2.02E-01,2.09E-01
WTH.30,1,1.89E-01,
WTH.30,2,1.78E-01,
WTH.30,3,1.84E-01,
WTH.30,4,2.06E-01,
WTH.30,5,1.79E-01,
WTH.30,6,2.00E-01,
WTH.30,7,1.91E-01,
WTH.30,8,2.22E-01,
WTH.30,9,1.98E-01,
WTH.30,10,1.87E-01,1.93E-01
WTH.31,1,2.08E-01,
WTH.31,2,2.05E-01,
WTH.31,3,2.34E-01,
WTH.31,4,2.11E-01,
WTH.31,5,1.79E-01,
WTH.31,6,2.33E-01,
WTH.31,7,1.81E-01,
WTH.31,8,2.10E-01,
WTH.31,9,2.13E-01,
WTH.31,10,2.13E-01,2.09E-01
WTH.32,1,2.04E-01,
WTH.32,2,2.25E-01,
WTH.32,3,2.30E-01,
WTH.32,4,2.62E-01,
WTH.32,5,2.21E-01,
WTH.32,6,2.27E-01,
WTH.32,7,2.21E-01,
WTH.32,8,2.23E-01,
WTH.32,9,2.08E-01,
WTH.32,10,2.13E-01,2.23E-01
WTH.33,1,2.16E-01,
WTH.33,2,2.05E-01,
WTH.33,3,2.15E-01,
WTH.33,4,1.89E-01,
WTH.33,5,2.45E-01,
WTH.33,6,2.28E-01,
WTH.33,7,1.92E-01,
WTH.33,8,2.02E-01,
WTH.33,9,2.05E-01,
WTH.33,10,2.04E-01,2.10E-01
WTH.34,1,2.08E-01,
WTH.34,2,2.17E-01,
WTH.34,3,1.94E-01,
WTH.34,4,1.99E-01,
WTH.34,5,2.12E-01,
WTH.34,6,2.05E-01,
WTH.34,7,1.99E-01,
WTH.34,8,2.19E-01,
WTH.34,9,2.03E-01,
WTH.34,10,2.04E-01,2.06E-01
WTH.35,1,2.01E-01,
WTH.35,2,2.00E-01,
WTH.35,3,1.71E-01,
WTH.35,4,1.91E-01,
WTH.35,5,1.95E-01,
WTH.35,6,2.09E-01,
WTH.35,7,2.04E-01,
WTH.35,8,2.22E-01,
WTH.35,9,1.96E-01,
WTH.35,10,2.02E-01,1.99E-01
WTH.36,1,2.05E-01,
WTH.36,2,1.93E-01,
WTH.36,3,2.26E-01,
WTH.36,4,1.82E-01,
WTH.36,5,2.04E-01,
WTH.36,6,2.04E-01,
WTH.36,7,2.06E-01,
WTH.36,8,2.33E-01,
WTH.36,9,2.10E-01,
WTH.36,10,2.11E-01,2.07E-01
WTH.37,1,2.06E-01,
WTH.37,2,2.11E-01,
WTH.37,3,1.91E-01,
WTH.37,4,2.18E-01,
WTH.37,5,2.10E-01,
WTH.37,6,1.96E-01,
WTH.37,7,2.16E-01,
WTH.37,8,2.17E-01,
WTH.37,9,2.11E-01,
WTH.37,10,2.03E-01,2.08E-01
WTH.38,1,1.85E-01,
WTH.38,2,2.07E-01,
WTH.38,3,1.99E-01,
WTH.38,4,1.90E-01,
WTH.38,5,1.98E-01,
WTH.38,6,1.89E-01,
WTH.38,7,1.82E-01,
WTH.38,8,1.92E-01,
WTH.38,9,1.85E-01,
WTH.38,10,1.85E-01,1.91E-01
WTH.39,1,2.16E-01,
WTH.39,2,2.19E-01,
WTH.39,3,2.00E-01,
WTH.39,4,2.14E-01,
WTH.39,5,2.03E-01,
WTH.39,6,2.19E-01,
WTH.39,7,2.13E-01,
WTH.39,8,2.27E-01,
WTH.39,9,2.21E-01,
WTH.39,10,2.03E-01,2.14E-01
WTH.40,1,2.17E-01,
WTH.40,2,2.14E-01,
WTH.40,3,1.92E-01,
WTH.40,4,2.05E-01,
WTH.40,5,2.00E-01,
WTH.40,6,1.97E-01,
WTH.40,7,2.13E-01,
WTH.40,8,2.03E-01,
WTH.40,9,2.47E-01,
WTH.40,10,1.88E-01,2.08E-01
WTH.41,1,1.97E-01,
WTH.41,2,2.26E-01,
WTH.41,3,2.22E-01,
WTH.41,4,2.27E-01,
WTH.41,5,2.08E-01,
WTH.41,6,2.19E-01,
WTH.41,7,2.18E-01,
WTH.41,8,2.20E-01,
WTH.41,9,2.23E-01,
WTH.41,10,2.23E-01,2.18E-01
WTH.42,1,2.04E-01,
WTH.42,2,1.98E-01,
WTH.42,3,1.78E-01,
WTH.42,4,2.34E-01,
WTH.42,5,2.04E-01,
WTH.42,6,2.03E-01,
WTH.42,7,2.22E-01,
WTH.42,8,2.07E-01,
WTH.42,9,2.30E-01,
WTH.42,10,1.96E-01,2.07E-01
WTH.43,1,2.03E-01,
WTH.43,2,1.99E-01,
WTH.43,3,1.91E-01,
WTH.43,4,2.17E-01,2.02E-01
WTH.44,1,2.26E-01,
WTH.44,2,2.11E-01,
WTH.44,3,2.27E-01,
WTH.44,4,2.32E-01,
WTH.44,5,2.26E-01,
WTH.44,6,2.39E-01,
WTH.44,7,2.25E-01,
WTH.44,8,2.11E-01,
WTH.44,9,2.32E-01,
