clutch_ID,egg_ID,label,area_px,length,max_width,volume,ellipse_deviation,surface_area,left_R^2,right_R^2,mean_egg_volume
A.M.2,1,Egg_Measurement.txt,3.03E+04,8.68E-01,4.51E-01,9.18E-02,1.18E-04,1.05E+00,9.74E-01,9.70E-01,
A.M.2,2,Egg_Measurement.txt,3.26E+04,7.84E-01,5.37E-01,1.16E-01,3.96E-04,1.18E+00,9.72E-01,9.93E-01,
A.M.2,3,Egg_Measurement.txt,2.90E+04,7.74E-01,4.72E-01,8.81E-02,5.31E-04,1.00E+00,9.93E-01,9.78E-01,
A.M.2,4,Egg_Measurement.txt,3.06E+04,7.79E-01,4.99E-01,1.00E-01,2.73E-04,1.08E+00,9.89E-01,9.90E-01,
A.M.2,5,Egg_Measurement.txt,3.05E+04,7.83E-01,4.88E-01,9.98E-02,1.70E-05,1.08E+00,9.91E-01,9.90E-01,
A.M.2,6,Egg_Measurement.txt,3.30E+04,7.68E-01,5.41E-01,1.17E-01,1.85E-04,1.18E+00,9.95E-01,9.78E-01,
A.M.2,7,Egg_Measurement.txt,2.90E+04,7.64E-01,4.89E-01,9.53E-02,1.10E-04,1.04E+00,9.13E-01,9.53E-01,
A.M.2,8,Egg_Measurement.txt,3.13E+04,7.86E-01,5.14E-01,1.08E-01,1.49E-04,1.13E+00,9.92E-01,9.82E-01,
A.M.2,9,Egg_Measurement.txt,2.92E+04,7.31E-01,5.18E-01,1.03E-01,9.17E-05,1.08E+00,9.88E-01,9.93E-01,
A.M.2,10,Egg_Measurement.txt,3.05E+04,8.12E-01,4.92E-01,1.00E-01,5.97E-04,1.09E+00,9.60E-01,9.52E-01,1.02E-01
H.C.3,1,,1.63E+04,7.71E-01,3.91E-01,6.05E-02,3.27E-04,8.02E-01,9.32E-01,9.35E-01,
H.C.3,2,,2.32E+04,7.97E-01,5.25E-01,1.14E-01,2.69E-05,1.17E+00,9.99E-01,9.95E-01,
H.C.3,3,,2.24E+04,8.02E-01,5.08E-01,1.06E-01,5.81E-04,1.12E+00,9.96E-01,9.85E-01,
H.C.3,4,,1.89E+04,7.66E-01,4.47E-01,8.02E-02,4.32E-05,9.42E-01,9.70E-01,9.79E-01,
H.C.3,5,,2.13E+04,7.56E-01,5.08E-01,9.99E-02,5.07E-04,1.07E+00,9.91E-01,9.79E-01,
H.C.3,6,,2.16E+04,7.83E-01,5.09E-01,1.04E-01,5.30E-04,1.10E+00,9.75E-01,9.93E-01,
H.C.3,7,Egg_Measurement.txt,2.20E+04,7.69E-01,5.27E-01,1.09E-01,4.76E-05,1.13E+00,9.47E-01,9.92E-01,
H.C.3,8,Egg_Measurement.txt,2.31E+04,7.48E-01,5.64E-01,1.19E-01,1.69E-03,1.19E+00,9.32E-01,9.91E-01,
H.C.3,9,Egg_Measurement.txt,2.38E+04,7.65E-01,5.34E-01,1.13E-01,3.02E-04,1.16E+00,9.93E-01,9.99E-01,
H.C.3,10,Egg_Measurement.txt,2.20E+04,7.75E-01,5.01E-01,9.79E-02,9.68E-04,1.07E+00,9.88E-01,9.73E-01,1.00E-01
A.W.4,1,,2.70E+04,6.88E-01,5.02E-01,8.85E-02,2.58E-05,9.76E-01,9.80E-01,9.98E-01,
A.W.4,2,,2.69E+04,7.39E-01,4.72E-01,8.66E-02,6.57E-05,9.79E-01,9.99E-01,9.94E-01,
A.W.4,3,,2.81E+04,7.69E-01,4.65E-01,8.64E-02,3.53E-05,9.84E-01,9.93E-01,8.34E-01,
A.W.4,4,,2.99E+04,8.07E-01,4.77E-01,9.52E-02,1.90E-04,1.06E+00,9.89E-01,9.86E-01,
A.W.4,5,,2.76E+04,7.60E-01,4.40E-01,7.78E-02,1.18E-04,9.26E-01,9.87E-01,1.00E+00,
A.W.4,6,,2.91E+04,7.39E-01,4.99E-01,9.30E-02,8.99E-04,1.02E+00,9.99E-01,9.79E-01,
A.W.4,7,,2.72E+04,6.97E-01,4.73E-01,8.23E-02,4.00E-05,9.39E-01,9.90E-01,9.97E-01,
A.W.4,8,Egg_Measurement.txt,2.90E+04,7.73E-01,4.75E-01,9.08E-02,9.95E-05,1.02E+00,9.57E-01,9.95E-01,
A.W.4,9,Egg_Measurement.txt,2.39E+04,6.43E-01,4.47E-01,6.74E-02,7.53E-05,8.19E-01,9.98E-01,9.72E-01,
A.W.4,10,Egg_Measurement.txt,2.82E+04,7.41E-01,4.78E-01,8.82E-02,1.21E-04,9.90E-01,9.77E-01,9.79E-01,8.56E-02
W.M.5,1,Egg_Measurement.txt,2.54E+04,6.95E-01,5.06E-01,8.91E-02,1.40E-03,9.88E-01,9.94E-01,9.75E-01,
W.M.5,2,Egg_Measurement.txt,2.68E+04,7.49E-01,4.97E-01,9.34E-02,6.24E-04,1.03E+00,9.88E-01,9.93E-01,
W.M.5,3,Egg_Measurement.txt,2.86E+04,7.89E-01,4.99E-01,9.81E-02,1.15E-03,1.07E+00,9.79E-01,9.78E-01,
W.M.5,4,Egg_Measurement.txt,2.56E+04,7.42E-01,4.55E-01,7.93E-02,3.18E-04,9.30E-01,9.72E-01,9.94E-01,
W.M.5,5,Egg_Measurement.txt,2.76E+04,7.29E-01,4.98E-01,9.21E-02,7.02E-04,1.01E+00,9.95E-01,9.44E-01,
W.M.5,6,Egg_Measurement.txt,2.76E+04,7.18E-01,5.13E-01,9.84E-02,1.69E-04,1.05E+00,9.88E-01,9.79E-01,
W.M.5,7,Egg_Measurement.txt,3.04E+04,7.35E-01,4.91E-01,9.20E-02,3.20E-04,1.01E+00,9.81E-01,9.98E-01,
W.M.5,8,Egg_Measurement.txt,2.78E+04,7.05E-01,4.83E-01,8.54E-02,2.02E-04,9.61E-01,9.98E-01,9.68E-01,
W.M.5,9,Egg_Measurement.txt,2.63E+04,7.26E-01,4.93E-01,8.95E-02,7.75E-04,9.97E-01,9.61E-01,9.28E-01,
W.M.5,10,Egg_Measurement.txt,2.68E+04,6.94E-01,4.70E-01,7.93E-02,3.11E-04,9.17E-01,9.80E-01,9.82E-01,8.97E-02
H.M.15,1,Egg_Measurement.txt,3.31E+04,7.40E-01,5.05E-01,9.72E-02,4.38E-04,1.05E+00,9.63E-01,9.74E-01,
H.M.15,2,Egg_Measurement.txt,3.47E+04,7.70E-01,4.90E-01,9.48E-02,4.87E-04,1.04E+00,9.95E-01,9.89E-01,
H.M.15,3,Egg_Measurement.txt,3.50E+04,7.90E-01,5.28E-01,1.14E-01,2.40E-04,1.17E+00,9.95E-01,9.87E-01,
H.M.15,4,Egg_Measurement.txt,3.30E+04,7.85E-01,4.89E-01,9.84E-02,4.72E-06,1.07E+00,9.84E-01,9.70E-01,
H.M.15,5,Egg_Measurement.txt,3.19E+04,7.89E-01,4.82E-01,9.45E-02,3.51E-04,1.05E+00,9.66E-01,9.87E-01,
H.M.15,6,Egg_Measurement.txt,3.29E+04,7.54E-01,5.10E-01,1.02E-01,6.03E-05,1.08E+00,9.82E-01,1.00E+00,
H.M.15,7,Egg_Measurement.txt,3.26E+04,7.61E-01,4.80E-01,9.08E-02,2.86E-04,1.01E+00,9.89E-01,9.73E-01,
H.M.15,8,Egg_Measurement.txt,3.06E+04,7.47E-01,4.89E-01,9.01E-02,9.03E-04,1.01E+00,9.36E-01,9.86E-01,
H.M.15,9,Egg_Measurement.txt,3.17E+04,7.36E-01,4.98E-01,9.33E-02,5.95E-04,1.02E+00,9.58E-01,9.76E-01,
H.M.15,10,Egg_Measurement.txt,3.25E+04,7.59E-01,4.82E-01,9.09E-02,3.62E-04,1.01E+00,9.90E-01,9.83E-01,9.66E-02
H.C.19,1,Egg_Measurement.txt,4.17E+04,8.63E-01,5.49E-01,1.33E-01,5.17E-04,1.31E+00,9.72E-01,9.98E-01,
H.C.19,2,Egg_Measurement.txt,3.86E+04,8.29E-01,5.37E-01,1.21E-01,9.20E-04,1.22E+00,9.68E-01,9.75E-01,
H.C.19,3,Egg_Measurement.txt,4.15E+04,8.72E-01,5.39E-01,1.31E-01,5.29E-04,1.30E+00,9.94E-01,9.95E-01,
H.C.19,4,Egg_Measurement.txt,3.77E+04,8.52E-01,4.98E-01,1.08E-01,4.39E-04,1.15E+00,9.88E-01,9.87E-01,
H.C.19,5,Egg_Measurement.txt,4.06E+04,8.53E-01,5.45E-01,1.29E-01,5.96E-04,1.28E+00,9.83E-01,9.83E-01,
H.C.19,6,Egg_Measurement.txt,3.83E+04,8.65E-01,5.20E-01,1.18E-01,7.97E-04,1.22E+00,9.83E-01,9.65E-01,
H.C.19,7,Egg_Measurement.txt,3.37E+04,7.87E-01,4.91E-01,9.78E-02,3.48E-04,1.07E+00,9.93E-01,9.32E-01,
H.C.19,8,Egg_Measurement.txt,3.65E+04,8.41E-01,5.07E-01,1.10E-01,6.14E-04,1.16E+00,9.85E-01,9.57E-01,
H.C.19,9,Egg_Measurement.txt,3.86E+04,8.64E-01,5.12E-01,1.16E-01,6.94E-04,1.20E+00,9.80E-01,9.90E-01,
H.C.19,10,Egg_Measurement.txt,4.06E+04,8.56E-01,5.55E-01,1.35E-01,5.43E-04,1.32E+00,9.88E-01,9.79E-01,1.20E-01
H.W.25,1,Egg_Measurement.txt,4.10E+04,7.82E-01,4.73E-01,9.18E-02,1.47E-07,1.03E+00,9.77E-01,9.70E-01,
H.W.25,2,Egg_Measurement.txt,3.77E+04,6.84E-01,4.65E-01,7.92E-02,6.66E-05,9.15E-01,9.91E-01,9.92E-01,
H.W.25,3,Egg_Measurement.txt,4.28E+04,7.45E-01,4.98E-01,9.53E-02,4.17E-04,1.04E+00,9.89E-01,9.59E-01,
