clutch_code,egg_number,label,area,length,max width,volume,ellipse deviation,surface area,left R^2,right R^2,mean_volume,,,,,,,,
1216,1,Egg_Measurement.txt,1.33E+04,7.87E-01,4.84E-01,9.52E-02,3.58E-04,1.05E+00,9.79E-01,9.81E-01,,,,,,,,,
1216,2,Egg_Measurement.txt,1.13E+04,7.27E-01,4.41E-01,7.33E-02,2.69E-04,8.84E-01,9.94E-01,9.29E-01,,,,,,,,,
1216,3,Egg_Measurement.txt,1.23E+04,6.97E-01,4.78E-01,8.36E-02,3.78E-05,9.47E-01,9.59E-01,9.56E-01,,,,,,,,,
1216,4,Egg_Measurement.txt,1.32E+04,7.50E-01,4.77E-01,8.91E-02,5.85E-05,9.98E-01,9.85E-01,9.40E-01,,,,,,,,,
1216,5,Egg_Measurement.txt,1.62E+04,7.81E-01,5.64E-01,1.30E-01,1.83E-05,1.27E+00,9.97E-01,9.75E-01,,,,,,,,,
1216,6,Egg_Measurement.txt,1.28E+04,7.66E-01,4.52E-01,8.27E-02,9.68E-05,9.61E-01,9.88E-01,9.91E-01,,,,,,,,,
1216,7,Egg_Measurement.txt,1.18E+04,7.47E-01,4.47E-01,7.71E-02,3.30E-04,9.16E-01,9.84E-01,9.80E-01,,,,,,,,,
1216,8,Egg_Measurement.txt,1.25E+04,7.86E-01,4.45E-01,8.13E-02,3.07E-04,9.58E-01,9.47E-01,9.88E-01,,,,,,,,,
1216,9,Egg_Measurement.txt,1.30E+04,7.76E-01,4.77E-01,9.08E-02,3.83E-04,1.02E+00,9.56E-01,9.73E-01,,,,,,,,,
1216,10,Egg_Measurement.txt,1.28E+04,7.51E-01,4.75E-01,8.78E-02,2.85E-04,9.90E-01,9.79E-01,9.82E-01,8.91E-02,,,,,,,,
1554,1,Egg_Measurement.txt,5.17E+04,8.14E-01,4.14E-01,7.10E-02,5.02E-04,8.94E-01,9.88E-01,9.46E-01,,,,,,,,,
1554,2,Egg_Measurement.txt,5.08E+04,7.23E-01,4.53E-01,7.78E-02,2.87E-04,9.15E-01,9.83E-01,9.53E-01,,,,,,,,,
1554,3,Egg_Measurement.txt,5.41E+04,7.69E-01,4.49E-01,8.15E-02,9.55E-07,9.52E-01,9.25E-01,8.41E-01,,,,,,,,,
1554,4,Egg_Measurement.txt,5.30E+04,7.70E-01,4.46E-01,7.94E-02,2.24E-04,9.38E-01,9.55E-01,8.70E-01,,,,,,,,,
1554,5,Egg_Measurement.txt,4.90E+04,7.48E-01,4.19E-01,6.94E-02,9.01E-05,8.62E-01,9.64E-01,9.87E-01,,,,,,,,,
1554,6,Egg_Measurement.txt,5.05E+04,7.06E-01,4.52E-01,7.65E-02,5.80E-05,9.01E-01,9.83E-01,9.91E-01,,,,,,,,,
1554,7,Egg_Measurement.txt,5.13E+04,7.37E-01,4.48E-01,7.77E-02,5.52E-05,9.17E-01,9.93E-01,9.80E-01,,,,,,,,,
1554,8,Egg_Measurement.txt,5.35E+04,7.67E-01,4.52E-01,8.05E-02,3.61E-04,9.46E-01,9.83E-01,9.83E-01,,,,,,,,,
1554,9,Egg_Measurement.txt,5.19E+04,7.94E-01,4.13E-01,7.09E-02,2.99E-04,8.88E-01,9.95E-01,9.45E-01,,,,,,,,,
1554,10,Egg_Measurement.txt,5.17E+04,7.46E-01,4.70E-01,8.43E-02,5.38E-04,9.66E-01,9.78E-01,9.65E-01,7.69E-02,,,,,,,,
2046,1,Egg_Measurement.txt,4.06E+04,7.42E-01,5.07E-01,9.73E-02,2.66E-04,1.05E+00,9.82E-01,9.95E-01,,,,,,,,,
2046,2,Egg_Measurement.txt,4.11E+04,7.60E-01,4.94E-01,9.71E-02,2.15E-04,1.05E+00,9.95E-01,9.68E-01,,,,,,,,,
2046,3,Egg_Measurement.txt,4.13E+04,7.94E-01,4.93E-01,1.02E-01,5.17E-05,1.09E+00,9.96E-01,9.79E-01,,,,,,,,,
2046,4,Egg_Measurement.txt,4.26E+04,7.60E-01,5.27E-01,1.10E-01,1.13E-04,1.13E+00,9.77E-01,9.96E-01,,,,,,,,,
2046,5,Egg_Measurement.txt,4.72E+04,8.14E-01,5.53E-01,1.26E-01,4.21E-05,1.25E+00,9.90E-01,9.97E-01,,,,,,,,,
2046,6,Egg_Measurement.txt,4.26E+04,7.24E-01,5.40E-01,1.10E-01,9.72E-05,1.13E+00,9.85E-01,9.94E-01,,,,,,,,,
2046,7,Egg_Measurement.txt,4.61E+04,7.32E-01,5.79E-01,1.24E-01,1.58E-04,1.21E+00,9.91E-01,9.86E-01,,,,,,,,,
2046,8,Egg_Measurement.txt,4.37E+04,7.74E-01,5.33E-01,1.13E-01,3.67E-04,1.16E+00,9.66E-01,9.93E-01,,,,,,,,,
2046,9,Egg_Measurement.txt,4.08E+04,7.31E-01,5.23E-01,1.06E-01,4.36E-06,1.10E+00,9.98E-01,9.92E-01,,,,,,,,,
2046,10,Egg_Measurement.txt,4.12E+04,7.78E-01,4.96E-01,1.01E-01,6.58E-05,1.08E+00,9.93E-01,9.85E-01,1.09E-01,,,,,,,,
2598,1,Egg_Measurement.txt,1.30E+04,7.44E-01,4.76E-01,8.88E-02,9.33E-06,9.95E-01,9.88E-01,9.82E-01,,,,,,,,,
2598,2,Egg_Measurement.txt,1.21E+04,7.47E-01,4.56E-01,8.10E-02,9.97E-05,9.42E-01,9.77E-01,9.39E-01,,,,,,,,,
2598,3,Egg_Measurement.txt,1.23E+04,6.95E-01,4.78E-01,8.52E-02,3.73E-05,9.59E-01,9.98E-01,9.95E-01,,,,,,,,,
2598,4,Egg_Measurement.txt,1.14E+04,7.22E-01,4.40E-01,7.27E-02,2.06E-04,8.77E-01,9.79E-01,9.76E-01,,,,,,,,,
2598,5,Egg_Measurement.txt,1.24E+04,7.22E-01,4.73E-01,8.52E-02,4.36E-05,9.65E-01,9.92E-01,9.82E-01,,,,,,,,,
2598,6,Egg_Measurement.txt,1.15E+04,7.17E-01,4.39E-01,7.18E-02,5.35E-04,8.72E-01,9.92E-01,9.88E-01,,,,,,,,,
2598,7,Egg_Measurement.txt,1.32E+04,7.20E-01,5.02E-01,9.56E-02,6.43E-05,1.03E+00,9.82E-01,9.93E-01,,,,,,,,,
2598,8,Egg_Measurement.txt,1.30E+04,7.41E-01,4.81E-01,8.89E-02,2.71E-04,9.95E-01,9.87E-01,9.73E-01,,,,,,,,,
2598,9,Egg_Measurement.txt,1.25E+04,7.09E-01,4.74E-01,8.31E-02,8.12E-05,9.46E-01,9.84E-01,9.85E-01,,,,,,,,,
2598,10,Egg_Measurement.txt,1.18E+04,6.69E-01,4.63E-01,7.62E-02,7.94E-06,8.89E-01,9.83E-01,9.96E-01,8.28E-02,,,,,,,,
2613,1,Egg_Measurement.txt,4.33E+04,7.18E-01,5.46E-01,1.11E-01,6.63E-06,1.13E+00,9.97E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,2,Egg_Measurement.txt,4.34E+04,7.32E-01,5.79E-01,1.16E-01,7.30E-04,1.16E+00,9.93E-01,9.91E-01,,don’t use for repeatability,,,,,,,
2613,3,Egg_Measurement.txt,4.77E+04,8.13E-01,5.27E-01,1.15E-01,3.79E-04,1.18E+00,9.74E-01,9.74E-01,,don’t use for repeatability,,,,,,,
2613,4,Egg_Measurement.txt,4.59E+04,7.64E-01,5.35E-01,1.14E-01,7.35E-05,1.16E+00,9.66E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,5,Egg_Measurement.txt,4.49E+04,8.07E-01,5.06E-01,1.07E-01,3.45E-04,1.13E+00,9.60E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,6,Egg_Measurement.txt,4.19E+04,7.91E-01,4.92E-01,9.78E-02,4.93E-04,1.07E+00,9.56E-01,9.76E-01,,don’t use for repeatability,,,,,,,
2613,7,Egg_Measurement.txt,4.03E+04,7.61E-01,4.76E-01,8.83E-02,4.81E-04,9.97E-01,9.99E-01,9.93E-01,,don’t use for repeatability,,,,,,,
