clutch_code,egg_number,label,area,length,max width,volume,ellipse deviation,surface area,left R^2,right R^2,mean_volume,
1216,1,Egg_Measurement.txt,1.32E+04,6.49E-01,3.95E-01,5.22E-02,3.81E-04,7.04E-01,9.91E-01,9.87E-01,,
1216,2,Egg_Measurement.txt,1.15E+04,5.99E-01,3.76E-01,4.37E-02,3.14E-04,6.23E-01,9.94E-01,8.78E-01,,
1216,3,Egg_Measurement.txt,1.25E+04,5.95E-01,4.10E-01,5.37E-02,5.04E-05,7.05E-01,9.80E-01,9.90E-01,,
1216,4,Egg_Measurement.txt,1.34E+04,6.39E-01,4.08E-01,5.64E-02,1.59E-05,7.35E-01,9.73E-01,9.72E-01,,
1216,5,Egg_Measurement.txt,1.62E+04,6.68E-01,4.83E-01,8.17E-02,1.03E-05,9.27E-01,9.94E-01,9.93E-01,,
1216,6,Egg_Measurement.txt,1.27E+04,6.55E-01,3.84E-01,5.08E-02,2.38E-04,6.96E-01,9.89E-01,1.00E+00,,
1216,7,Egg_Measurement.txt,1.18E+04,6.24E-01,3.75E-01,4.46E-02,5.60E-04,6.36E-01,9.88E-01,9.64E-01,,
1216,8,Egg_Measurement.txt,1.24E+04,6.60E-01,3.76E-01,4.83E-02,2.27E-04,6.75E-01,9.74E-01,9.34E-01,,
1216,9,Egg_Measurement.txt,1.26E+04,6.39E-01,3.86E-01,4.98E-02,1.51E-04,6.83E-01,9.80E-01,9.45E-01,,
1216,10,Egg_Measurement.txt,1.26E+04,6.33E-01,4.00E-01,5.29E-02,1.49E-04,7.06E-01,9.46E-01,9.81E-01,5.34E-02,
1554,1,Egg_Measurement.txt,5.22E+04,6.82E-01,3.56E-01,4.40E-02,4.35E-04,6.46E-01,9.92E-01,9.09E-01,,
1554,2,Egg_Measurement.txt,5.11E+04,6.13E-01,3.91E-01,4.86E-02,3.30E-04,6.67E-01,9.68E-01,9.56E-01,,
1554,3,Egg_Measurement.txt,5.60E+04,6.51E-01,3.91E-01,5.25E-02,2.25E-06,7.07E-01,9.62E-01,8.95E-01,,
1554,4,Egg_Measurement.txt,5.31E+04,6.48E-01,3.77E-01,4.74E-02,3.26E-04,6.65E-01,8.99E-01,9.53E-01,,
1554,5,Egg_Measurement.txt,4.93E+04,6.26E-01,3.54E-01,4.10E-02,2.13E-04,6.07E-01,9.50E-01,9.94E-01,,
1554,6,Egg_Measurement.txt,5.13E+04,5.97E-01,3.86E-01,4.68E-02,1.26E-04,6.49E-01,9.40E-01,9.99E-01,,
1554,7,Egg_Measurement.txt,5.11E+04,6.21E-01,3.82E-01,4.75E-02,2.59E-06,6.59E-01,9.70E-01,9.72E-01,,
1554,8,Egg_Measurement.txt,5.39E+04,6.44E-01,3.90E-01,4.98E-02,6.94E-04,6.85E-01,9.68E-01,9.80E-01,,
1554,9,Egg_Measurement.txt,5.26E+04,6.75E-01,3.55E-01,4.37E-02,3.63E-04,6.41E-01,9.73E-01,9.48E-01,,
1554,10,Egg_Measurement.txt,5.18E+04,6.19E-01,3.96E-01,4.92E-02,9.41E-04,6.75E-01,9.61E-01,9.70E-01,4.71E-02,
2046,1,,4.08E+04,6.36E-01,4.34E-01,6.01E-02,3.98E-04,7.61E-01,9.88E-01,9.88E-01,,
2046,2,,4.17E+04,6.46E-01,4.22E-01,6.01E-02,1.35E-04,7.65E-01,9.89E-01,9.64E-01,,
2046,3,,4.18E+04,6.64E-01,4.16E-01,5.97E-02,1.01E-04,7.66E-01,9.99E-01,9.75E-01,,
2046,4,,4.24E+04,6.34E-01,4.48E-01,6.61E-02,2.08E-04,8.08E-01,9.78E-01,9.93E-01,,
2046,5,,4.72E+04,6.58E-01,4.60E-01,7.28E-02,1.41E-05,8.62E-01,9.95E-01,9.81E-01,,
2046,6,,4.29E+04,6.05E-01,4.53E-01,6.56E-02,2.02E-05,7.98E-01,9.97E-01,9.90E-01,,
2046,7,,4.59E+04,6.14E-01,4.82E-01,7.45E-02,2.34E-04,8.66E-01,9.88E-01,9.70E-01,,
2046,8,Egg_Measurement.txt,4.33E+04,6.50E-01,4.42E-01,6.49E-02,6.78E-04,8.03E-01,9.50E-01,9.86E-01,,
2046,9,Egg_Measurement.txt,4.10E+04,6.04E-01,4.42E-01,6.17E-02,2.22E-05,7.67E-01,9.95E-01,9.58E-01,,
2046,10,Egg_Measurement.txt,4.05E+04,6.37E-01,4.06E-01,5.63E-02,2.18E-05,7.35E-01,9.58E-01,9.86E-01,6.42E-02,
2598,1,Egg_Measurement.txt,1.31E+04,6.15E-01,4.03E-01,5.23E-02,6.75E-05,6.97E-01,9.86E-01,9.52E-01,,
2598,2,Egg_Measurement.txt,1.21E+04,6.26E-01,3.75E-01,4.63E-02,7.02E-05,6.50E-01,9.72E-01,9.87E-01,,
2598,3,Egg_Measurement.txt,1.22E+04,5.89E-01,4.00E-01,5.01E-02,6.14E-05,6.75E-01,9.92E-01,9.86E-01,,
2598,4,Egg_Measurement.txt,1.15E+04,6.09E-01,3.69E-01,4.32E-02,1.29E-04,6.21E-01,9.75E-01,9.85E-01,,
2598,5,Egg_Measurement.txt,1.24E+04,6.07E-01,3.97E-01,5.00E-02,1.01E-04,6.77E-01,9.95E-01,9.76E-01,,
2598,6,Egg_Measurement.txt,1.17E+04,6.05E-01,3.80E-01,4.47E-02,7.02E-04,6.34E-01,9.88E-01,9.90E-01,,
2598,7,Egg_Measurement.txt,1.32E+04,6.14E-01,4.20E-01,5.62E-02,3.40E-04,7.28E-01,9.94E-01,9.92E-01,,
2598,8,Egg_Measurement.txt,1.32E+04,6.34E-01,4.12E-01,5.56E-02,2.94E-04,7.28E-01,9.88E-01,9.66E-01,,
2598,9,Egg_Measurement.txt,1.27E+04,6.16E-01,4.05E-01,5.27E-02,1.93E-04,7.00E-01,9.86E-01,9.84E-01,,
2598,10,Egg_Measurement.txt,1.22E+04,5.99E-01,4.03E-01,5.01E-02,2.18E-05,6.74E-01,9.58E-01,9.99E-01,5.01E-02,
2613,1,Egg_Measurement.txt,4.31E+04,6.05E-01,4.53E-01,6.57E-02,2.10E-05,7.99E-01,9.78E-01,9.84E-01,,
2613,2,Egg_Measurement.txt,4.44E+04,6.17E-01,4.84E-01,6.90E-02,6.58E-04,8.22E-01,9.99E-01,9.97E-01,,
2613,3,Egg_Measurement.txt,4.82E+04,6.96E-01,4.55E-01,7.53E-02,2.43E-04,8.90E-01,9.90E-01,9.70E-01,,
2613,4,Egg_Measurement.txt,4.56E+04,6.48E-01,4.47E-01,6.81E-02,4.56E-05,8.25E-01,9.71E-01,9.95E-01,,
2613,5,Egg_Measurement.txt,4.53E+04,6.77E-01,4.26E-01,6.37E-02,5.31E-04,8.01E-01,9.91E-01,9.85E-01,,
2613,6,Egg_Measurement.txt,4.23E+04,6.48E-01,4.04E-01,5.58E-02,1.62E-04,7.33E-01,9.88E-01,9.63E-01,,
2613,7,Egg_Measurement.txt,4.02E+04,6.40E-01,4.05E-01,5.39E-02,6.13E-04,7.17E-01,9.64E-01,9.96E-01,,
2613,8,Egg_Measurement.txt,4.20E+04,6.43E-01,4.37E-01,6.29E-02,6.39E-04,7.87E-01,9.92E-01,9.40E-01,,
2613,9,Egg_Measurement.txt,4.36E+04,6.28E-01,4.39E-01,6.38E-02,2.03E-04,7.90E-01,9.93E-01,9.96E-01,,
2613,10,Egg_Measurement.txt,4.28E+04,6.39E-01,4.32E-01,6.15E-02,5.10E-04,7.76E-01,9.47E-01,9.89E-01,6.40E-02,"don’t use this one for repeatability, eggs measured in wrong order"
2841,1,Egg_Measurement.txt,3.49E+04,6.84E-01,4.17E-01,6.15E-02,3.54E-04,7.86E-01,9.97E-01,9.60E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,2,Egg_Measurement.txt,3.50E+04,6.45E-01,4.36E-01,6.51E-02,9.03E-06,8.03E-01,9.79E-01,9.87E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,3,Egg_Measurement.txt,3.49E+04,6.75E-01,4.12E-01,5.96E-02,1.63E-04,7.69E-01,9.40E-01,9.86E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,4,Egg_Measurement.txt,3.55E+04,6.90E-01,4.20E-01,6.30E-02,2.50E-04,7.98E-01,9.30E-01,9.79E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,5,Egg_Measurement.txt,3.28E+04,6.63E-01,3.95E-01,5.33E-02,3.04E-04,7.17E-01,9.18E-01,9.81E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,6,Egg_Measurement.txt,3.55E+04,6.54E-01,4.38E-01,6.57E-02,3.31E-04,8.10E-01,9.59E-01,9.98E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,7,Egg_Measurement.txt,3.01E+04,6.59E-01,3.70E-01,4.77E-02,1.79E-04,6.72E-01,9.15E-01,9.88E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,8,Egg_Measurement.txt,3.12E+04,6.57E-01,3.89E-01,5.13E-02,2.90E-04,7.00E-01,9.61E-01,9.32E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,9,Egg_Measurement.txt,3.43E+04,6.46E-01,4.17E-01,5.91E-02,3.81E-06,7.57E-01,9.93E-01,9.93E-01,,"don’t use this one for repeatability, eggs measured in wrong order"
2841,10,Egg_Measurement.txt,2.92E+04,6.30E-01,3.72E-01,4.64E-02,1.73E-04,6.54E-01,9.94E-01,9.13E-01,5.73E-02,
3462,1,Egg_Measurement.txt,1.70E+04,6.62E-01,3.34E-01,3.84E-02,1.74E-04,5.93E-01,9.43E-01,9.58E-01,,
3462,2,Egg_Measurement.txt,2.25E+04,6.69E-01,4.32E-01,6.27E-02,1.26E-04,7.87E-01,9.90E-01,9.74E-01,,
3462,3,Egg_Measurement.txt,2.22E+04,6.85E-01,4.21E-01,6.18E-02,3.24E-04,7.87E-01,9.78E-01,9.61E-01,,
3462,4,Egg_Measurement.txt,1.90E+04,6.56E-01,3.66E-01,4.59E-02,1.60E-04,6.55E-01,9.90E-01,9.58E-01,,
3462,5,Egg_Measurement.txt,2.13E+04,6.24E-01,4.34E-01,5.94E-02,5.87E-04,7.54E-01,9.96E-01,9.68E-01,,
3462,6,Egg_Measurement.txt,2.14E+04,6.57E-01,4.23E-01,5.89E-02,7.10E-04,7.58E-01,9.86E-01,9.99E-01,,
3462,7,Egg_Measurement.txt,2.23E+04,6.47E-01,4.21E-01,6.03E-02,7.74E-05,7.67E-01,9.84E-01,9.92E-01,,
3462,8,Egg_Measurement.txt,2.35E+04,6.71E-01,4.59E-01,6.83E-02,3.29E-04,8.28E-01,9.91E-01,9.92E-01,,
3462,9,Egg_Measurement.txt,2.37E+04,6.77E-01,4.56E-01,6.94E-02,1.78E-04,8.37E-01,9.84E-01,9.98E-01,,
3462,10,Egg_Measurement.txt,2.24E+04,6.64E-01,4.27E-01,6.13E-02,4.39E-04,7.77E-01,9.89E-01,9.48E-01,5.86E-02,
3510,1,Egg_Measurement.txt,3.08E+04,7.35E-01,3.90E-01,5.94E-02,4.93E-05,7.84E-01,9.58E-01,9.88E-01,,
3510,2,Egg_Measurement.txt,3.25E+04,6.58E-01,4.46E-01,6.90E-02,5.05E-05,8.34E-01,9.91E-01,9.95E-01,,
3510,3,Egg_Measurement.txt,2.94E+04,6.62E-01,4.06E-01,5.63E-02,3.82E-04,7.40E-01,9.96E-01,9.63E-01,,
3510,4,Egg_Measurement.txt,3.11E+04,6.73E-01,4.18E-01,6.22E-02,1.60E-04,7.89E-01,9.88E-01,9.87E-01,,
3510,5,Egg_Measurement.txt,3.05E+04,6.60E-01,4.13E-01,5.95E-02,2.61E-05,7.64E-01,9.97E-01,9.67E-01,,
3510,6,Egg_Measurement.txt,3.32E+04,6.53E-01,4.49E-01,6.83E-02,2.59E-04,8.28E-01,9.97E-01,9.93E-01,,
3510,7,Egg_Measurement.txt,2.94E+04,6.43E-01,4.01E-01,5.39E-02,9.95E-05,7.16E-01,9.70E-01,9.41E-01,,
3510,8,Egg_Measurement.txt,3.18E+04,6.63E-01,4.29E-01,6.29E-02,3.51E-04,7.91E-01,9.76E-01,9.89E-01,,
3510,9,Egg_Measurement.txt,3.06E+04,6.35E-01,4.25E-01,5.87E-02,5.34E-04,7.53E-01,9.66E-01,9.64E-01,,
3510,10,Egg_Measurement.txt,3.20E+04,6.80E-01,4.27E-01,6.28E-02,8.30E-04,7.95E-01,9.49E-01,9.53E-01,6.13E-02,
3566,1,Egg_Measurement.txt,4.06E+04,7.22E-01,4.59E-01,7.77E-02,6.26E-04,9.14E-01,9.66E-01,9.89E-01,,
3566,2,Egg_Measurement.txt,3.94E+04,6.96E-01,4.59E-01,7.46E-02,7.59E-04,8.86E-01,9.54E-01,9.86E-01,,
3566,3,Egg_Measurement.txt,4.06E+04,7.15E-01,4.48E-01,7.34E-02,6.23E-04,8.81E-01,9.54E-01,9.61E-01,,
3566,4,Egg_Measurement.txt,3.68E+04,7.09E-01,4.17E-01,6.36E-02,4.30E-04,8.08E-01,9.82E-01,9.75E-01,,
3566,5,Egg_Measurement.txt,3.97E+04,7.08E-01,4.49E-01,7.28E-02,6.08E-04,8.75E-01,9.62E-01,9.76E-01,,
3566,6,Egg_Measurement.txt,3.87E+04,7.16E-01,4.33E-01,6.90E-02,4.80E-04,8.50E-01,9.75E-01,9.98E-01,,
3566,7,Egg_Measurement.txt,3.39E+04,6.53E-01,4.12E-01,5.73E-02,3.75E-04,7.46E-01,9.75E-01,9.51E-01,,
3566,8,Egg_Measurement.txt,3.68E+04,7.03E-01,4.24E-01,6.52E-02,3.21E-04,8.18E-01,9.59E-01,9.83E-01,,
3566,9,Egg_Measurement.txt,3.91E+04,7.18E-01,4.39E-01,7.16E-02,4.22E-04,8.69E-01,9.94E-01,9.44E-01,,
3566,10,Egg_Measurement.txt,4.01E+04,7.11E-01,4.57E-01,7.55E-02,7.51E-04,8.96E-01,9.66E-01,9.75E-01,7.01E-02,
3756,1,Egg_Measurement.txt,4.01E+04,6.11E-01,4.25E-01,5.73E-02,3.16E-04,7.36E-01,9.68E-01,9.86E-01,,
3756,2,Egg_Measurement.txt,3.82E+04,6.07E-01,4.06E-01,5.19E-02,2.14E-04,6.92E-01,9.93E-01,9.81E-01,,
3756,3,Egg_Measurement.txt,4.75E+04,6.24E-01,5.01E-01,8.07E-02,3.63E-04,9.12E-01,9.96E-01,9.96E-01,,
3756,4,Egg_Measurement.txt,3.66E+04,5.87E-01,4.12E-01,5.21E-02,3.05E-05,6.89E-01,9.70E-01,9.41E-01,,
3756,5,Egg_Measurement.txt,4.71E+04,6.42E-01,4.85E-01,7.84E-02,2.49E-04,8.98E-01,9.93E-01,9.93E-01,,
3756,6,Egg_Measurement.txt,3.81E+04,6.30E-01,4.05E-01,5.28E-02,1.06E-04,7.03E-01,9.87E-01,9.99E-01,,
3756,7,Egg_Measurement.txt,3.94E+04,6.33E-01,4.13E-01,5.57E-02,3.60E-04,7.28E-01,9.65E-01,9.96E-01,,
3756,8,Egg_Measurement.txt,3.88E+04,5.69E-01,4.51E-01,5.98E-02,4.77E-04,7.48E-01,9.85E-01,9.81E-01,6.11E-02,
3887,1,Egg_Measurement.txt,3.61E+04,5.99E-01,4.02E-01,4.93E-02,3.06E-04,6.68E-01,9.95E-01,9.98E-01,,
3887,2,Egg_Measurement.txt,3.87E+04,6.09E-01,4.20E-01,5.59E-02,2.79E-04,7.24E-01,9.85E-01,9.93E-01,,
3887,3,Egg_Measurement.txt,3.29E+04,5.84E-01,3.75E-01,4.28E-02,2.52E-04,6.12E-01,9.66E-01,9.90E-01,,
3887,4,Egg_Measurement.txt,3.46E+04,6.00E-01,3.89E-01,4.69E-02,3.65E-04,6.50E-01,9.96E-01,9.76E-01,,
3887,5,Egg_Measurement.txt,3.63E+04,6.04E-01,3.89E-01,4.81E-02,1.76E-04,6.61E-01,9.96E-01,9.93E-01,,
3887,6,Egg_Measurement.txt,3.61E+04,6.08E-01,3.91E-01,4.79E-02,1.17E-04,6.59E-01,9.96E-01,9.82E-01,,
3887,7,Egg_Measurement.txt,4.04E+04,6.34E-01,4.17E-01,5.70E-02,3.65E-04,7.39E-01,9.88E-01,9.92E-01,,
3887,8,Egg_Measurement.txt,3.65E+04,5.75E-01,4.09E-01,4.98E-02,2.97E-04,6.68E-01,9.85E-01,9.90E-01,,
3887,9,Egg_Measurement.txt,3.67E+04,5.92E-01,4.04E-01,5.09E-02,7.61E-05,6.81E-01,9.89E-01,9.96E-01,,
3887,10,Egg_Measurement.txt,3.72E+04,6.00E-01,4.16E-01,5.37E-02,3.26E-04,7.05E-01,9.87E-01,9.79E-01,5.02E-02,
4003,1,Egg_Measurement.txt,4.86E+04,6.20E-01,4.18E-01,5.68E-02,1.36E-04,7.34E-01,9.94E-01,9.70E-01,,
4003,2,Egg_Measurement.txt,5.51E+04,6.67E-01,4.47E-01,6.95E-02,1.83E-04,8.40E-01,9.81E-01,9.94E-01,,
4003,3,Egg_Measurement.txt,3.56E+04,6.41E-01,4.29E-01,6.27E-02,1.13E-04,7.85E-01,9.98E-01,9.94E-01,,
4003,4,Egg_Measurement.txt,4.36E+04,6.01E-01,3.96E-01,4.90E-02,9.43E-05,6.67E-01,9.78E-01,9.68E-01,,
