female_ID,clutch_ID,clutch_code ,maternal_clutch,larval_temp,pupal_temp,female_mass ,fertile_eggs,infertile_eggs,total_eggs,egg_mean,
HOT.WTH.44_P5_C,H.C.3,3462,44,hot,cool,0.0269,,,213,0.100277601,
CTRL.WTH.42_P3_M,A.M.2,3510,42,ambient,mean,0.0279,,,210,1.02E-01,
CTRL.WTH.60_P3_W,A.W.4,9717,60,ambient,warm ,0.0205,,,60,0.085610657,
WARM.WTH.1_P2_M,W.M.5,3985,1,warm,mean,0.0301,,,245,8.97E-02,
CTRL.WTH.42_P7_W,A.W.6,2841,42,ambient,warm ,0.0297,,,35,9.69E-02,
HOT.WTH.15_P4_A,H.A.8,4370,15,hot,ambient,0.0313,,,36,9.36E-02,
HOT.WTH.60_P3_A,H.A.9,5760,60,hot,ambient,0.0256,,,100,1.02E-01,
CTRL.WTH.44_P7_M,A.M.11,7745,44,ambient,mean,0.026,,,11,9.41E-02,
CTRL.WTH.16_P4_W,A.W.12,3756,16,ambient,warm ,0.0244,,,11,1.03E-01,
HOT.WTH.26_P2_M,H.M.15,6106,26,hot,mean,0.0326,,,199,0.09655992,
CTRL.WTH.60_P2_M,A.M.17,3887,60,hot,mean,0.0373,,,223,0.085490321,
CTRL.WTH.44_P1_C,A.C.18,7169,44,ambient,cool,0.0254,,,4,0.090657491,
HOT.WTH.102_P6_C,H.C.19,3566,102,hot,cool,0.0485,,,251,0.119863069,
WARM.WTH.44_P1_A,W.A.21,3979,44,warm,ambient,0.0375,,,3,0.103131689,
CTRL.WTH.94_P2_A,C.A.22,2613,94,ambient,ambient,0.0324,,,49,0.108058897,
CTRL.WTH.60_P6_H,A.H.23,1554,60,ambient,hot,0.0223,,,168,0.07567919,
HOT.WTH.86.P1_W,H.W.25,5468,86,hot,warm ,0.0401,,,187,0.087374991,
WARM.WTH.37_P2_W,W.W.27,8788,37,warm,warm ,0.037,,,226,0.091949553,
HOT.WTH.152_P3_A,H.A.29,2046,152,hot,ambient,0.0282,,,138,0.10726523,
HOT.WTH.117_P1_A,H.A.30,8066,117,hot,ambient,0.0296,,,169,0.113926921,
CTRL.WTH.164_P4_C,A.C.31,4003,163,ambient,cool,0.025,,,109,0.09369543,
CTRL.WTH.152_P5_M,A.M.33,4206,152,ambient,mean,0.0212,,,176,0.100388569,
CTRL.WTH.43_P2_M,A.M.35,8988,43,ambient,mean,0.0343,,,40,0.096657773,
CTRL.WTH.117_P4_M,A.M.36,4994,117,ambient,mean,0.0309,,,304,0.095668101,
CTRL.WTH.170_P6_M,A.M.37,9357,170,ambient,mean,0.0231,,,169,0.086359882,
WARM.WTH.164_P2_M,W.M.38,1216,164,warm,mean,0.0242,,,82,0.087208891,
WARM.WTH.44_P3_C,W.C.41,9156,44,warm,cool,0.0333,,,34,0.107466058,
HOT.WTH.25_P5_C,H.C.42,7215,25,hot,cool,0.0305,,,178,0.097669661,
HOT.WTH.16_P5_W,H.W.48,9779,16,hot,warm ,0.0361,,,247,0.084060726,
HOT.WTH.43_P6_W,H.W.49,2598,43,hot,warm ,0.0284,,,10,0.084163838,
CTRL.WTH.53_P4_M,A.M.178,5236,53,ambient,mean,0.0338,,,271,0.104886874,
CTRL.WTH.78_P1_H,A.H.65,4936,78,ambient,hot,0.025,,,16,0.069413454,
HOT.WTH.17_P1_H,H.H.67,5088,17,hot,hot,0.0224,,,17,0.096079413,
CTRL.WTH.49_P2_C,A.C.56,3906,49,ambient,cool,0.0323,,,252,,
CTRL.WTH.60_P4_C,A.C.40,1293,60,ambient,cool,0.0265,,,232,,
CTRL.WTH.29_P5_C,A.C.44,9468,29,ambient,cool,0.0291,,,153,,
CTRL.WTH.170_P4_W,A.W.51,1040,170,ambient,warm ,0.0262,,,245,,
CTRL.WTH_P8_W,A.W.52,9507,,ambient,warm ,0.0273,,,90,,
CTRL.WTH.60_P5_A,A.A.57,8390,60,ambient,ambient,0.0248,,,116,,
WARM.WTH.152_P2_A,W.A.58,7671,152,warm,ambient,0.0172,,,102,,
HOT.WTH.16_P1_A,H.A.59,8283,16,hot,ambient,0.0295,,,53,,
WARM.WTH.48_P1_M,W.M.60,3503,48,warm,mean,0.0245,,,76,,
WARM.WTH.110_P2_M,W.M.61,7741,110,warm,mean,0.0237,,,81,,
WARM.WTH.23_P4_M,W.M.62,9943,23,warm,mean,0.0273,,,149,,
F3.CTRL.CTRL_P2_H,A.H.66,9565,,ambient,hot,0.0231,,,,,this is one of Sienna's females (clutch size 84)
HOT.WTH.47_P4_H,H.H.93,7128,47,hot,hot,0.0331,,,269,,
CTRL.WTH.153_P4_H,A.H.94,5611,153,ambient,hot,0.0237,,,26,,
HOT.WTH.104_P3_H,H.H.95,3116,104,hot,hot,0.0274,,,101,,
HOT.WTH.44_P2_H,H.H.124,7133,44,hot,hot,0.0341,,,6,,
CTRL.WTH.42_P2_H,A.H.125,1754,42,ambient,hot,0.0237,,,45,,
WARM.WTH.53_P6_H,W.H.126,7552,53,warm,hot,0.0203,,,280,,
