female_ID,capture_date,tree_ID,green_eggs,orange_eggs,eggs_photographed,egg_area,"I forgot to record the mass of these females… oops, oh dear…"
WTH.1,21/11/2025,17863,0,87,DONE,0.199804187,
WTH.2,19/11/2025,17863,1,110,DONE,0.203247619,
WTH.3,21/11/2025,16682,0,36,DONE,0.229459758,
WTH.4,19/11/2025,17321,,,N/A,,not a winter moth - possibly scarce umber
WTH.5,19/11/2025,17321,1,253,DONE,0.201881894,
WTH.6,19/11/2025,17321,0,164,DONE,0.212846927,
WTH.7,19/11/2025,17863,0,0,N/A,,went mouldy
WTH.8,21/11/2025,17028,14,267,DONE,0.213717213,
WTH.9,19/11/2025,17321,11,48,DONE,0.202450431,
WTH.10,21/11/2025,17028,0,386,DONE,0.175243068,
WTH.11,24/11/2025,17307,0,52,DONE,0.21252984,
WTH.12,24/11/2025,17307,0,318,DONE,0.201404464,
WTH.13,24/11/2025,17321,0,37,DONE,0.220254991,
WTH.14,24/11/2025,16682,0,8,DONE,0.202431643,
WTH.15,24/11/2025,16682,0,21,DONE,0.201787074,
WTH.16,24/11/2025,16682,,,N/A,,not a winter moth - possibly scarce umber
WTH.17,24/11/2025,16682,0,16,DONE,0.210666971,
WTH.18,24/11/2025,17863,0,12,DONE,0.204655659,
WTH.19,24/11/2025,17863,2,143,DONE,0.209661378,
WTH.20,24/11/2025,17028,0,66,DONE,0.215286197,
WTH.21,24/11/2025,17321,0,0,N/A,,
WTH.22,24/11/2025,20708,0,64,DONE,0.193488635,
WTH.23,24/11/2025,17863,1,46,DONE,0.211878019,
WTH.24,24/11/2025,17028,0,7,DONE,0.193649184,this image has 7 eggs
WTH.25,24/11/2025,17321,1,52,DONE,0.172681431,
WTH.26,24/11/2025,17028,0,0,N/A,,
WTH.27,24/11/2025,17307,0,100,DONE,0.204867615,
WTH.28,24/11/2025,17863,0,159,DONE,0.214573509,
WTH.29,24/11/2025,17863,0,27,DONE,0.209258368,
WTH.30,24/11/2025,17863,1,119,DONE,0.193296703,
WTH.31,24/11/2025,16682,1,40,DONE,0.20856114,
WTH.32,24/11/2025,17302,2,307,DONE,0.223342597,
WTH.33,24/11/2025,14,0,80,DONE,0.209916381,tree no.14 is the name lionel uses for this tree - it has an equivalent code like the rest of the codes in this spreadsheet
WTH.34,28/11/2025,17863,0,70,DONE,0.206095049,
WTH.35,28/11/2025,17863,5,184,DONE,0.199326159,
WTH.36,28/11/2025,17863,0,97,DONE,0.207248126,
WTH.37,28/11/2025,17863,8,27,DONE,0.207956719,
WTH.38,28/11/2025,17321,8,82,DONE,0.191340269,
WTH.39,28/11/2025,41128,0,168,DONE,0.213519748,41128 might actually be 14128…
WTH.40,28/11/2025,17863,9,69,DONE,0.207633107,
WTH.41,28/11/2025,17321,0,104,DONE,0.218350538,
WTH.42,28/11/2025,17863,0,25,DONE,0.207488912,
WTH.43,28/11/2025,17863,,4,DONE,0.202210136,
WTH.44,28/11/2025,17863,0,120,DONE,0.224060241,
WTH.45,28/11/2025,17863,0,9,DONE,0.22554579,this image has 9 eggs
WTH.46,28/11/2025,17321,2,106,DONE,,
WTH.47,28/11/2025,17863,1,83,DONE,,
WTH.48,28/11/2025,16682,0,3,DONE,,
WTH.49,28/11/2025,20708,0,0,N/A,,
WTH.50,28/11/2025,17321,2,183,DONE,,
WTH.51,28/11/2025,17321,0,107,DONE,,
WTH.52,28/11/2025,16682,0,29,DONE,,
WTH.53,28/11/2025,17307,0,1,DONE,,
WTH.54,28/11/2025,17307,1,40,DONE,,
WTH.55,28/11/2025,16682,1,219,DONE,,
WTH.56,28/11/2025,17863,1,11,DONE,,
WTH.57,28/11/2025,16682,0,0,N/A,,
WTH.58,28/11/2025,16682,0,0,N/A,,
WTH.59,28/11/2025,16682,0,72,DONE,,
WTH.60,28/11/2025,17863,0,4,DONE,,
WTH.61,28/11/2025,17307,1,34,DONE,,
WTH.62,28/11/2025,17863,0,0,N/A,,
WTH.63,28/11/2025,17863,1,0,DONE,,
WTH.64,28/11/2025,16682,25,160,DONE,,
WTH.65,28/11/2025,16682,0,187,DONE,,
WTH.66,28/11/2025,17863,0,133,DONE,,
WTH.67,28/11/2025,16682,1,11,DONE,,
WTH.68,28/11/2025,17863,1,168,DONE,,
WTH.69,28/11/2025,17307,0,19,DONE,,
WTH.70,28/11/2025,17863,0,105,DONE,,
WTH.71,28/11/2025,17863,2,231,DONE,,
WTH.72,28/11/2025,17863,0,8,DONE,,
WTH.73,28/11/2025,17321,1,1,DONE,,
WTH.74,28/11/2025,16682,0,16,DONE,,
WTH.75,28/11/2025,17863,0,92,DONE,,
WTH.76,28/11/2025,41128,0,7,DONE,,
WTH.77,28/11/2025,16682,0,203,DONE,,
WTH.78,28/11/2025,17863,0,21,DONE,,
WTH.79,28/11/2025,17862,8,20,DONE,,
